u,v,key,osmid,oneway,lanes,name,highway,maxspeed,width,length,geometry,est_width,access,bridge,service,ref,junction
3023803507,831562816,0,298470370,False,1,Jalan Gading Indah Utara IX,residential,20,4,28.519,"LINESTRING (106.9119041 -6.1562795, 106.9119198 -6.1560235)",,,,,,
3023804155,7118250791,0,298469163,False,1,Jalan Gading Indah III,residential,30,4,54.948,"LINESTRING (106.9111383 -6.1633102, 106.9108837 -6.1637346)",,,,,,
3023804155,4462397829,0,298469163,False,1,Jalan Gading Indah III,residential,30,4,52.165,"LINESTRING (106.9111383 -6.1633102, 106.9113992 -6.1629193)",,,,,,
3023820058,4415737422,0,298469163,False,1,Jalan Gading Indah III,residential,30,4,38.904,"LINESTRING (106.9117918 -6.1623022, 106.9116037 -6.1625979)",,,,,,
3023820058,3023820062,0,298469163,False,1,Jalan Gading Indah III,residential,30,4,8.509,"LINESTRING (106.9117918 -6.1623022, 106.9118329 -6.1622375)",,,,,,
3023820062,3023820058,0,298469163,False,1,Jalan Gading Indah III,residential,30,4,8.509,"LINESTRING (106.9118329 -6.1622375, 106.9117918 -6.1623022)",,,,,,
3023820062,3023824193,0,298469163,False,1,Jalan Gading Indah III,residential,30,4,43.577,"LINESTRING (106.9118329 -6.1622375, 106.9120433 -6.1619061)",,,,,,
3023820063,4415668284,0,298468871,True,1,Jalan Raya Kelapa Lilin,residential,30,4,187.456,"LINESTRING (106.9098818 -6.1589926, 106.9113162 -6.1598916)",,,,,,
3023820066,4500228833,0,746825096,True,1,Jalan Raya Kelapa Lilin,residential,30,4,12.211,"LINESTRING (106.9098243 -6.1590733, 106.9097307 -6.159015)",,,,,,
3023820070,4532856608,0,746825096,True,1,Jalan Raya Kelapa Lilin,residential,30,4,135.722,"LINESTRING (106.9123006 -6.160629, 106.9112627 -6.1599771)",,,,,,
3023820072,3023824174,0,746825096,True,1,Jalan Raya Kelapa Lilin,residential,30,4,40.841,"LINESTRING (106.9130086 -6.1610737, 106.9126963 -6.1608775)",,,,,,
3023820074,3023820072,0,746825096,True,1,Jalan Raya Kelapa Lilin,residential,30,4,38.417,"LINESTRING (106.9133024 -6.1612582, 106.9130086 -6.1610737)",,,,,,
3023820076,3023820074,0,746825096,True,1,Jalan Raya Kelapa Lilin,residential,30,4,36.706,"LINESTRING (106.9135831 -6.1614345, 106.9133024 -6.1612582)",,,,,,
3023824174,3023824193,0,298469163,False,1,Jalan Gading Indah III,residential,30,4,135.252,"LINESTRING (106.9126963 -6.1608775, 106.9120433 -6.1619061)",,,,,,
3023824174,7010297399,0,746825096,True,1,Jalan Raya Kelapa Lilin,residential,30,4,5.598,"LINESTRING (106.9126963 -6.1608775, 106.9126535 -6.1608506)",,,,,,
3023824175,6476868839,0,759006422,False,1,Jalan Gading Indah III,residential,30,4,3.397,"LINESTRING (106.9108534 -6.1637828, 106.9108697 -6.1637569)",,,,,,
3023824176,3023803495,0,519893958,False,1,Jalan Gading Indah Utara I,residential,30,3,43.266,"LINESTRING (106.9128438 -6.157441, 106.9126379 -6.1577719)",,,,,,
3023824193,3023820062,0,298469163,False,1,Jalan Gading Indah III,residential,30,4,43.577,"LINESTRING (106.9120433 -6.1619061, 106.9118329 -6.1622375)",,,,,,
3023824193,3023824174,0,298469163,False,1,Jalan Gading Indah III,residential,30,4,135.252,"LINESTRING (106.9120433 -6.1619061, 106.9126963 -6.1608775)",,,,,,
3023848613,6399939305,0,298470370,False,1,Jalan Gading Indah Utara IX,residential,20,4,4.595,"LINESTRING (106.911987 -6.1549282, 106.9119855 -6.1549695)",,,,,,
3023848614,3023803507,0,298470370,False,1,Jalan Gading Indah Utara IX,residential,20,4,50.809,"LINESTRING (106.9118732 -6.1567354, 106.9119041 -6.1562795)",,,,,,
3023848620,4415518943,0,298470372,False,1,Jalan Gading Indah Utara II,residential,20,3,138.862,"LINESTRING (106.9131397 -6.1576287, 106.9124912 -6.1586982)",,,,,,
3023848621,3023848623,0,298468871,True,1,Jalan Raya Kelapa Lilin,residential,30,4,39.438,"LINESTRING (106.911658 -6.1601058, 106.9119598 -6.1602949)",,,,,,
3023848621,4415518943,0,298470372,False,1,Jalan Gading Indah Utara II,residential,20,3,181.611,"LINESTRING (106.911658 -6.1601058, 106.9124912 -6.1586982)",,,,,,
3023848622,4415518944,0,298470373,False,1,Jalan Gading Indah Utara III,residential,20,3,138.609,"LINESTRING (106.9134789 -6.1578445, 106.9127909 -6.1588866)",,,,,,
3023848623,3023848624,0,298468871,True,1,Jalan Raya Kelapa Lilin,residential,30,4,35.379,"LINESTRING (106.9119598 -6.1602949, 106.9122305 -6.1604646)",,,,,,
3023848623,4415518944,0,298470373,False,1,Jalan Gading Indah Utara III,residential,20,3,181.561,"LINESTRING (106.9119598 -6.1602949, 106.9127909 -6.1588866)",,,,,,
3023848624,3023848626,0,298468871,True,1,Jalan Raya Kelapa Lilin,residential,30,4,36.522,"LINESTRING (106.9122305 -6.1604646, 106.91251 -6.1606397)",,,,,,
3023848624,4415518945,0,298470374,False,1,Jalan Gading Indah Utara IV,residential,20,3,181.469,"LINESTRING (106.9122305 -6.1604646, 106.9130727 -6.1590638)",,,,,,
3023848625,4415518945,0,298470374,False,1,Jalan Gading Indah Utara IV,residential,20,3,103.53,"LINESTRING (106.9135794 -6.1582808, 106.9130727 -6.1590638)",,,,,,
3023848626,7010297400,0,298468871,True,1,Jalan Raya Kelapa Lilin,residential,30,4,26.374,"LINESTRING (106.91251 -6.1606397, 106.9127118 -6.1607662)",,,,,,
3023848626,4415518946,0,298470375,False,1,Jalan Gading Indah Utara V,residential,20,3,181.394,"LINESTRING (106.91251 -6.1606397, 106.9133619 -6.1592455)",,,,,,
3023848627,4415518946,0,298470375,False,1,Jalan Gading Indah Utara V,residential,20,3,58.967,"LINESTRING (106.9136357 -6.1587904, 106.9133619 -6.1592455)",,,,,,
3023848628,3023848629,0,298470376,False,,Jalan Gading Indah Utara VI,residential,20,3,181.346,"LINESTRING (106.9127895 -6.1608149, 106.9136399 -6.1594203)",,,,,,
3023848628,3023848630,0,746825097,True,1,Jalan Raya Kelapa Lilin,residential,30,4,34.095,"LINESTRING (106.9127895 -6.1608149, 106.9130504 -6.1609784)",,,,,,
3023848629,4415518946,0,298469647,False,,Jalan Kelapa Lilin IV,residential,20,4,36.364,"LINESTRING (106.9136399 -6.1594203, 106.9133619 -6.1592455)",,,,,,
3023848629,3023803492,0,298469647,False,,Jalan Kelapa Lilin IV,residential,20,4,9.598,"LINESTRING (106.9136399 -6.1594203, 106.9137133 -6.1594664)",,,,,,
3023848629,3023848628,0,298470376,False,,Jalan Gading Indah Utara VI,residential,20,3,181.346,"LINESTRING (106.9136399 -6.1594203, 106.9127895 -6.1608149)",,,,,,
3023848630,3023848632,0,746825097,True,1,Jalan Raya Kelapa Lilin,residential,30,4,46.836,"LINESTRING (106.9130504 -6.1609784, 106.9134088 -6.161203)",,,,,,
3023848632,6511350909,0,746825097,True,1,Jalan Raya Kelapa Lilin,residential,30,4,46.836,"LINESTRING (106.9134088 -6.161203, 106.9137672 -6.1614276)",,,,,,
3039443654,3351536680,0,573053433,False,2,Jalan Crown Mansion Boulevard,residential,20,,34.99,"LINESTRING (106.7383785 -6.1134477, 106.7382148 -6.113717)",,,,,,
3040338308,1244654204,0,528471891,False,2,Jalan Lingkar Luar Damar,residential,30,5,120.546,"LINESTRING (106.7468375 -6.1112897, 106.7457577 -6.1114397)",,,,,,
3040338308,3040338309,0,528471891,False,2,Jalan Lingkar Luar Damar,residential,30,5,43.811,"LINESTRING (106.7468375 -6.1112897, 106.747231 -6.1112433)",,,,,,
3040338309,3040338308,0,528471891,False,2,Jalan Lingkar Luar Damar,residential,30,5,43.811,"LINESTRING (106.747231 -6.1112433, 106.7468375 -6.1112897)",,,,,,
3040338309,3040338310,0,528471891,False,2,Jalan Lingkar Luar Damar,residential,30,5,15.865,"LINESTRING (106.747231 -6.1112433, 106.7473739 -6.1112303)",,,,,,
3040338310,3040338309,0,528471891,False,2,Jalan Lingkar Luar Damar,residential,30,5,15.865,"LINESTRING (106.7473739 -6.1112303, 106.747231 -6.1112433)",,,,,,
3040338310,6325023723,0,528471891,False,2,Jalan Lingkar Luar Damar,residential,30,5,9.048,"LINESTRING (106.7473739 -6.1112303, 106.7474556 -6.111235)",,,,,,
3040338311,6325023723,0,528471891,False,2,Jalan Lingkar Luar Damar,residential,30,5,10.121,"LINESTRING (106.747546 -6.1112493, 106.7474556 -6.111235)",,,,,,
3040338311,3136666911,0,528471891,False,2,Jalan Lingkar Luar Damar,residential,30,5,67.765,"LINESTRING (106.747546 -6.1112493, 106.7481251 -6.1114489)",,,,,,
3040440731,6325017372,0,299955815,False,2,Jalan Pearl Golf 1,residential,30,,1.764,"LINESTRING (106.7394654 -6.1122229, 106.7394767 -6.1122341)",,,,,,
3040440731,6474506532,0,299955815,False,2,Jalan Pearl Golf 1,residential,30,,1.698,"LINESTRING (106.7394654 -6.1122229, 106.7394522 -6.1122151)",,,,,,
3040444954,6474506533,0,299955815,False,2,Jalan Pearl Golf 1,residential,30,,1.632,"LINESTRING (106.739459 -6.1122986, 106.7394448 -6.1123026)",,,,,,
3040444954,6474506535,0,299955815,False,2,Jalan Pearl Golf 1,residential,30,,0.993,"LINESTRING (106.739459 -6.1122986, 106.7394663 -6.1122934)",,,,,,
3040454833,6474506535,0,299955815,False,2,Jalan Pearl Golf 1,residential,30,,1.262,"LINESTRING (106.7394743 -6.1122853, 106.7394663 -6.1122934)",,,,,,
3040454833,6474506537,0,299955815,False,2,Jalan Pearl Golf 1,residential,30,,1.565,"LINESTRING (106.7394743 -6.1122853, 106.7394792 -6.1122721)",,,,,,
3040454835,3040454836,0,299955815,False,2,Jalan Pearl Golf 1,residential,30,,4.674,"LINESTRING (106.7394153 -6.1123038, 106.7393735 -6.1122975)",,,,,,
3040454835,6474506534,0,299955815,False,2,Jalan Pearl Golf 1,residential,30,,1.637,"LINESTRING (106.7394153 -6.1123038, 106.7394301 -6.1123042)",,,,,,
3040454836,3040454835,0,299955815,False,2,Jalan Pearl Golf 1,residential,30,,4.674,"LINESTRING (106.7393735 -6.1122975, 106.7394153 -6.1123038)",,,,,,
3049354933,1717494938,0,159631217,False,1,Jalan Lontar VI,residential,20,3,40.237,"LINESTRING (106.8421768 -6.2185249, 106.8421211 -6.2188825)",,yes,,,,
3049354933,1717481649,0,159631217,False,1,Jalan Lontar VI,residential,20,3,52.795,"LINESTRING (106.8421768 -6.2185249, 106.8422499 -6.2180557)",,yes,,,,
3049354935,7065478156,0,159631217,False,1,Jalan Lontar VI,residential,20,3,0.891,"LINESTRING (106.8421137 -6.2190766, 106.8421142 -6.2190686)",,yes,,,,
3049354935,1717481153,0,159631702,False,2,Jalan Subur Raya,residential,30,,89.548,"LINESTRING (106.8421137 -6.2190766, 106.8429223 -6.2190277)",,yes,,,,
3049354935,7065470241,0,159631702,False,2,Jalan Subur Raya,residential,30,,1.072,"LINESTRING (106.8421137 -6.2190766, 106.842104 -6.2190768)",,yes,,,,
3090154368,3090222026,0,755280634,False,,Jalan Pendidikan VII,residential,20,5,24.577,"LINESTRING (106.92107 -6.2358839, 106.9210508 -6.2361041)",,,,,,
3090157258,6322354129,0,304475159,False,,Jalan Pendidikan IX,residential,20,3,113.43,"LINESTRING (106.9211698 -6.2345981, 106.9201443 -6.2345612)",,,,,,
3090157259,6322354127,0,304475159,False,,Jalan Pendidikan IX,residential,20,3,2.932,"LINESTRING (106.9192203 -6.2345186, 106.9192377 -6.2345385)",,,,,,
3090157259,3090157260,0,304475159,False,,Jalan Pendidikan IX,residential,20,3,38.433,"LINESTRING (106.9192203 -6.2345186, 106.9192357 -6.2341733)",,,,,,
3090157260,3090157259,0,304475159,False,,Jalan Pendidikan IX,residential,20,3,38.433,"LINESTRING (106.9192357 -6.2341733, 106.9192203 -6.2345186)",,,,,,
3090158897,3090237930,0,304475251,False,,Jalan Pendidikan X,residential,20,3,129.656,"LINESTRING (106.9211112 -6.2352888, 106.9199389 -6.2352496)",,,,,,
3090158898,6322354124,0,304475251,False,,Jalan Pendidikan X,residential,20,3,16.324,"LINESTRING (106.9198908 -6.2352171, 106.9198896 -6.2350703)",,,,,,
3090158898,7655509211,0,304475251,False,,Jalan Pendidikan X,residential,20,3,1.101,"LINESTRING (106.9198908 -6.2352171, 106.9198936 -6.2352266)",,,,,,
3090158899,4999343708,0,304475251,False,,Jalan Pendidikan X,residential,20,3,48.901,"LINESTRING (106.9198466 -6.2349346, 106.9194043 -6.2349437)",,,,,,
3090158899,6322354122,0,304475251,False,,Jalan Pendidikan X,residential,20,3,2.178,"LINESTRING (106.9198466 -6.2349346, 106.9198656 -6.2349398)",,,,,,
3090158900,4999343708,0,304475251,False,,Jalan Pendidikan X,residential,20,3,13.224,"LINESTRING (106.9192847 -6.2349466, 106.9194043 -6.2349437)",,,,,,
3090218496,3090218666,0,304480611,False,,Jalan Rohto,residential,20,4,50.462,"LINESTRING (106.9210258 -6.2369093, 106.9210359 -6.2364556)",,,,,,
3090218666,3090218496,0,304480611,False,,Jalan Rohto,residential,20,4,50.462,"LINESTRING (106.9210359 -6.2364556, 106.9210258 -6.2369093)",,,,,,
3090218666,3090222026,0,304480611,False,,Jalan Rohto,residential,20,4,39.12,"LINESTRING (106.9210359 -6.2364556, 106.9210508 -6.2361041)",,,,,,
3090218666,3090221963,0,304480794,False,,Jalan Padibu,residential,10,4,32.722,"LINESTRING (106.9210359 -6.2364556, 106.9213319 -6.2364599)",,,,,,
3090218671,3090218739,0,304480781,False,,Jalan Travon,residential,10,4,28.346,"LINESTRING (106.9219735 -6.2364691, 106.9219699 -6.236724)",,,,,,
3090218671,3090222030,0,304480781,False,,Jalan Travon,residential,10,4,35.552,"LINESTRING (106.9219735 -6.2364691, 106.9219779 -6.2361494)",,,,,,
3090218671,3090221963,0,304480794,False,,Jalan Padibu,residential,10,4,70.928,"LINESTRING (106.9219735 -6.2364691, 106.9213319 -6.2364599)",,,,,,
3090218736,3090229297,0,304480814,False,,Jalan Rifadin,residential,10,4,20.052,"LINESTRING (106.9213308 -6.2367291, 106.9215122 -6.2367276)",,,,,,
3090218736,3090221964,0,304480887,False,,Jalan Supraflu,residential,10,4,27.888,"LINESTRING (106.9213308 -6.2367291, 106.9213291 -6.2369799)",,,,,,
3090218736,3090221963,0,304480887,False,,Jalan Supraflu,residential,10,4,29.934,"LINESTRING (106.9213308 -6.2367291, 106.9213319 -6.2364599)",,,,,,
3090218739,3090222881,0,304480781,False,,Jalan Travon,residential,10,4,26.156,"LINESTRING (106.9219699 -6.236724, 106.9219666 -6.2369592)",,,,,,
3090218739,3090218671,0,304480781,False,,Jalan Travon,residential,10,4,28.346,"LINESTRING (106.9219699 -6.236724, 106.9219735 -6.2364691)",,,,,,
3090218739,3090229297,0,304480814,False,,Jalan Rifadin,residential,10,4,50.594,"LINESTRING (106.9219699 -6.236724, 106.9215122 -6.2367276)",,,,,,
3090221963,3090218671,0,304480794,False,,Jalan Padibu,residential,10,4,70.928,"LINESTRING (106.9213319 -6.2364599, 106.9219735 -6.2364691)",,,,,,
3090221963,3090218666,0,304480794,False,,Jalan Padibu,residential,10,4,32.722,"LINESTRING (106.9213319 -6.2364599, 106.9210359 -6.2364556)",,,,,,
3090221963,3090218736,0,304480887,False,,Jalan Supraflu,residential,10,4,29.934,"LINESTRING (106.9213319 -6.2364599, 106.9213308 -6.2367291)",,,,,,
3090221964,7655121075,0,304480887,False,,Jalan Supraflu,residential,10,4,2.631,"LINESTRING (106.9213291 -6.2369799, 106.9213347 -6.2370029)",,,,,,
3090221964,3090218736,0,304480887,False,,Jalan Supraflu,residential,10,4,27.888,"LINESTRING (106.9213291 -6.2369799, 106.9213308 -6.2367291)",,,,,,
3090222026,3090218666,0,304480611,False,,Jalan Rohto,residential,20,4,39.12,"LINESTRING (106.9210508 -6.2361041, 106.9210359 -6.2364556)",,,,,,
3090222026,3090233980,0,304480697,False,,Jalan Dasavit,residential,20,5,39.265,"LINESTRING (106.9210508 -6.2361041, 106.921405 -6.2361308)",,,,,,
3090222026,3090154368,0,755280634,False,,Jalan Pendidikan VII,residential,20,5,24.577,"LINESTRING (106.9210508 -6.2361041, 106.92107 -6.2358839)",,,,,,
3090222030,3090222031,0,304480697,False,,Jalan Dasavit,residential,20,5,29.663,"LINESTRING (106.9219779 -6.2361494, 106.9222462 -6.236144)",,,,,,
3090222030,3090222040,0,304480697,False,,Jalan Dasavit,residential,20,5,23.147,"LINESTRING (106.9219779 -6.2361494, 106.9217685 -6.2361498)",,,,,,
3090222030,3090218671,0,304480781,False,,Jalan Travon,residential,10,4,35.552,"LINESTRING (106.9219779 -6.2361494, 106.9219735 -6.2364691)",,,,,,
3090222031,7054420540,0,304480697,False,,Jalan Dasavit,residential,20,5,11.226,"LINESTRING (106.9222462 -6.236144, 106.922347 -6.2361563)",,,,,,
3090222031,3090222030,0,304480697,False,,Jalan Dasavit,residential,20,5,29.663,"LINESTRING (106.9222462 -6.236144, 106.9219779 -6.2361494)",,,,,,
3090222032,7054420540,0,304480697,False,,Jalan Dasavit,residential,20,5,17.967,"LINESTRING (106.9224848 -6.236242, 106.922347 -6.2361563)",,,,,,
3090222032,6480680223,0,717038487,False,,Jalan Dasavit,residential,20,5,10.58,"LINESTRING (106.9224848 -6.236242, 106.9225776 -6.2362653)",,,,,,
3090222039,3090233985,0,304481308,False,,Jalan Pil KB,residential,10,5,12.869,"LINESTRING (106.9217912 -6.2352584, 106.9217883 -6.2353741)",,,,,,
3090222039,3090234031,0,304481622,False,,Jalan Kimia Farma II,residential,10,5,22.606,"LINESTRING (106.9217912 -6.2352584, 106.9217914 -6.2350551)",,,,,,
3090222040,3090222030,0,304480697,False,,Jalan Dasavit,residential,20,5,23.147,"LINESTRING (106.9217685 -6.2361498, 106.9219779 -6.2361494)",,,,,,
3090222040,3090233980,0,304480697,False,,Jalan Dasavit,residential,20,5,40.236,"LINESTRING (106.9217685 -6.2361498, 106.921405 -6.2361308)",,,,,,
3090222040,3090232118,0,304481308,False,,Jalan Pil KB,residential,10,5,36.128,"LINESTRING (106.9217685 -6.2361498, 106.9217768 -6.235825)",,,,,,
3090222877,3090226870,0,304480781,False,,Jalan Travon,residential,10,4,37.076,"LINESTRING (106.9219584 -6.2375451, 106.9219631 -6.2372117)",,,,,,
3090222880,3090222881,0,304480821,False,,Jalan Quintonic,residential,10,4,50.215,"LINESTRING (106.9215124 -6.2369508, 106.9219666 -6.2369592)",,,,,,
3090222881,3090226870,0,304480781,False,,Jalan Travon,residential,10,4,28.079,"LINESTRING (106.9219666 -6.2369592, 106.9219631 -6.2372117)",,,,,,
3090222881,3090218739,0,304480781,False,,Jalan Travon,residential,10,4,26.156,"LINESTRING (106.9219666 -6.2369592, 106.9219699 -6.236724)",,,,,,
3090222881,3090222880,0,304480821,False,,Jalan Quintonic,residential,10,4,50.215,"LINESTRING (106.9219666 -6.2369592, 106.9215124 -6.2369508)",,,,,,
3090225712,3090225713,0,304481959,False,,Jalan 25,residential,10,3,12.207,"LINESTRING (106.9196883 -6.2360854, 106.9197185 -6.236191)",,,,,,
3090225712,3090237937,0,304481959,False,,Jalan 25,residential,10,3,10.448,"LINESTRING (106.9196883 -6.2360854, 106.9197813 -6.2360686)",,,,,,
3090225713,7655133508,0,304481959,False,,Jalan 25,residential,10,3,6.551,"LINESTRING (106.9197185 -6.236191, 106.9197289 -6.236249)",,,,,,
3090225713,3090225712,0,304481959,False,,Jalan 25,residential,10,3,12.207,"LINESTRING (106.9197185 -6.236191, 106.9196883 -6.2360854)",,,,,,
3090225714,5513064470,0,304481959,False,,Jalan 25,residential,10,3,47.873,"LINESTRING (106.9197309 -6.2363008, 106.9197057 -6.2367306)",,,,,,
3090225714,7655133508,0,304481959,False,,Jalan 25,residential,10,3,5.764,"LINESTRING (106.9197309 -6.2363008, 106.9197289 -6.236249)",,,,,,
3090225715,1348791444,0,304481959,False,,Jalan 25,residential,10,3,36.996,"LINESTRING (106.919702 -6.2367728, 106.9196563 -6.2371024)",,,,,,
3090225715,5513064470,0,304481959,False,,Jalan 25,residential,10,3,4.71,"LINESTRING (106.919702 -6.2367728, 106.9197057 -6.2367306)",,,,,,
3090226865,3090226866,0,304480887,False,,Jalan Supraflu,residential,10,4,3.308,"LINESTRING (106.9213454 -6.2370225, 106.9213628 -6.2370467)",,,,,,
3090226865,7655121075,0,304480887,False,,Jalan Supraflu,residential,10,4,2.48,"LINESTRING (106.9213454 -6.2370225, 106.9213347 -6.2370029)",,,,,,
3090226866,3090226867,0,304480887,False,,Jalan Supraflu,residential,10,4,4.649,"LINESTRING (106.9213628 -6.2370467, 106.9213955 -6.237073)",,,,,,
3090226866,3090226865,0,304480887,False,,Jalan Supraflu,residential,10,4,3.308,"LINESTRING (106.9213628 -6.2370467, 106.9213454 -6.2370225)",,,,,,
3090226867,3090229298,0,304480887,False,,Jalan Supraflu,residential,10,4,15.709,"LINESTRING (106.9213955 -6.237073, 106.9215125 -6.2371532)",,,,,,
3090226867,3090226866,0,304480887,False,,Jalan Supraflu,residential,10,4,4.649,"LINESTRING (106.9213955 -6.237073, 106.9213628 -6.2370467)",,,,,,
3090226868,7655121077,0,304480887,False,,Jalan Supraflu,residential,10,4,3.617,"LINESTRING (106.9215836 -6.2371955, 106.9216118 -6.237212)",,,,,,
3090226868,3090229298,0,304480887,False,,Jalan Supraflu,residential,10,4,9.159,"LINESTRING (106.9215836 -6.2371955, 106.9215125 -6.2371532)",,,,,,
3090226869,7655121076,0,304480887,False,,Jalan Supraflu,residential,10,4,3.302,"LINESTRING (106.9216346 -6.2372207, 106.9216642 -6.2372247)",,,,,,
3090226869,7655121077,0,304480887,False,,Jalan Supraflu,residential,10,4,2.7,"LINESTRING (106.9216346 -6.2372207, 106.9216118 -6.237212)",,,,,,
3090226870,3090222877,0,304480781,False,,Jalan Travon,residential,10,4,37.076,"LINESTRING (106.9219631 -6.2372117, 106.9219584 -6.2375451)",,,,,,
3090226870,3090222881,0,304480781,False,,Jalan Travon,residential,10,4,28.079,"LINESTRING (106.9219631 -6.2372117, 106.9219666 -6.2369592)",,,,,,
3090226870,7655121076,0,304480887,False,,Jalan Supraflu,residential,10,4,33.071,"LINESTRING (106.9219631 -6.2372117, 106.9216642 -6.2372247)",,,,,,
3090229297,3090218739,0,304480814,False,,Jalan Rifadin,residential,10,4,50.594,"LINESTRING (106.9215122 -6.2367276, 106.9219699 -6.236724)",,,,,,
3090229297,3090218736,0,304480814,False,,Jalan Rifadin,residential,10,4,20.052,"LINESTRING (106.9215122 -6.2367276, 106.9213308 -6.2367291)",,,,,,
3090229298,3090226868,0,304480887,False,,Jalan Supraflu,residential,10,4,9.159,"LINESTRING (106.9215125 -6.2371532, 106.9215836 -6.2371955)",,,,,,
3090229298,3090226867,0,304480887,False,,Jalan Supraflu,residential,10,4,15.709,"LINESTRING (106.9215125 -6.2371532, 106.9213955 -6.237073)",,,,,,
3090232118,3090222040,0,304481308,False,,Jalan Pil KB,residential,10,5,36.128,"LINESTRING (106.9217768 -6.235825, 106.9217685 -6.2361498)",,,,,,
3090232118,3090233985,0,304481308,False,,Jalan Pil KB,residential,10,5,50.154,"LINESTRING (106.9217768 -6.235825, 106.9217883 -6.2353741)",,,,,,
3090232422,3090232423,0,304481573,False,,Jalan Norit,residential,10,,44.204,"LINESTRING (106.922089 -6.2354313, 106.922084 -6.2358288)",,,,,,
3090232423,3090232422,0,304481573,False,,Jalan Norit,residential,10,,44.204,"LINESTRING (106.922084 -6.2358288, 106.922089 -6.2354313)",,,,,,
3090233980,3090222040,0,304480697,False,,Jalan Dasavit,residential,20,5,40.236,"LINESTRING (106.921405 -6.2361308, 106.9217685 -6.2361498)",,,,,,
3090233980,3090222026,0,304480697,False,,Jalan Dasavit,residential,20,5,39.265,"LINESTRING (106.921405 -6.2361308, 106.9210508 -6.2361041)",,,,,,
3090233980,3090233981,0,304481607,False,,Jalan Batugin,residential,10,3,57.064,"LINESTRING (106.921405 -6.2361308, 106.9214917 -6.2356249)",,,,,,
3090233981,3090233982,0,304481607,False,,Jalan Batugin,residential,10,3,12.136,"LINESTRING (106.9214917 -6.2356249, 106.9215082 -6.235517)",,,,,,
3090233981,3090233980,0,304481607,False,,Jalan Batugin,residential,10,3,57.064,"LINESTRING (106.9214917 -6.2356249, 106.921405 -6.2361308)",,,,,,
3090233982,3090233983,0,304481607,False,,Jalan Batugin,residential,10,3,11.825,"LINESTRING (106.9215082 -6.235517, 106.921531 -6.2354131)",,,,,,
3090233982,3090233981,0,304481607,False,,Jalan Batugin,residential,10,3,12.136,"LINESTRING (106.9215082 -6.235517, 106.9214917 -6.2356249)",,,,,,
3090233983,7655133513,0,304481607,False,,Jalan Batugin,residential,10,3,2.495,"LINESTRING (106.921531 -6.2354131, 106.9215397 -6.2353924)",,,,,,
3090233983,3090233982,0,304481607,False,,Jalan Batugin,residential,10,3,11.825,"LINESTRING (106.921531 -6.2354131, 106.9215082 -6.235517)",,,,,,
3090233984,3090233985,0,304481607,False,,Jalan Batugin,residential,10,3,20.14,"LINESTRING (106.9216062 -6.2353681, 106.9217883 -6.2353741)",,,,,,
3090233984,7655133514,0,304481607,False,,Jalan Batugin,residential,10,3,4.621,"LINESTRING (106.9216062 -6.2353681, 106.9215645 -6.2353711)",,,,,,
3090233985,3090232118,0,304481308,False,,Jalan Pil KB,residential,10,5,50.154,"LINESTRING (106.9217883 -6.2353741, 106.9217768 -6.235825)",,,,,,
3090233985,3090222039,0,304481308,False,,Jalan Pil KB,residential,10,5,12.869,"LINESTRING (106.9217883 -6.2353741, 106.9217912 -6.2352584)",,,,,,
3090233985,3090233984,0,304481607,False,,Jalan Batugin,residential,10,3,20.14,"LINESTRING (106.9217883 -6.2353741, 106.9216062 -6.2353681)",,,,,,
3090234031,3090222039,0,304481622,False,,Jalan Kimia Farma II,residential,10,5,22.606,"LINESTRING (106.9217914 -6.2350551, 106.9217912 -6.2352584)",,,,,,
3090234031,3091743547,0,304481622,False,,Jalan Kimia Farma II,residential,10,5,15.2,"LINESTRING (106.9217914 -6.2350551, 106.9217965 -6.2349185)",,,,,,
3090235090,7655133512,0,304481638,False,,Jalan Pendidikan XI,residential,10,4,61.137,"LINESTRING (106.9210773 -6.2357676, 106.9205275 -6.2357077)",,,,,,
3090235091,7655133511,0,304481638,False,,Jalan Pendidikan XI,residential,10,4,8.383,"LINESTRING (106.9203739 -6.2357074, 106.9204497 -6.2357099)",,,,,,
3090237930,7655509210,0,304475251,False,,Jalan Pendidikan X,residential,20,3,3.882,"LINESTRING (106.9199389 -6.2352496, 106.9199055 -6.2352388)",,,,,,
3090237930,3090158897,0,304475251,False,,Jalan Pendidikan X,residential,20,3,129.656,"LINESTRING (106.9199389 -6.2352496, 106.9211112 -6.2352888)",,,,,,
3090237930,3090237931,0,304481959,False,,Jalan 25,residential,10,3,47.547,"LINESTRING (106.9199389 -6.2352496, 106.9199376 -6.2356772)",,,,,,
3090237931,3090237932,0,304481959,False,,Jalan 25,residential,10,3,9.771,"LINESTRING (106.9199376 -6.2356772, 106.919934 -6.235765)",,,,,,
3090237931,3090237930,0,304481959,False,,Jalan 25,residential,10,3,47.547,"LINESTRING (106.9199376 -6.2356772, 106.9199389 -6.2352496)",,,,,,
3090237932,3090237933,0,304481959,False,,Jalan 25,residential,10,3,8.912,"LINESTRING (106.919934 -6.235765, 106.9199168 -6.2358433)",,,,,,
3090237932,3090237931,0,304481959,False,,Jalan 25,residential,10,3,9.771,"LINESTRING (106.919934 -6.235765, 106.9199376 -6.2356772)",,,,,,
3090237933,3090237934,0,304481959,False,,Jalan 25,residential,10,3,11.662,"LINESTRING (106.9199168 -6.2358433, 106.9198891 -6.2359445)",,,,,,
