u,v,key,osmid,oneway,name,highway,length,geometry,bridge,tunnel,service
4025322391,4025322396,0,399859259,True,,cycleway,40.893,"LINESTRING (101.5366287 3.0141307, 101.5363792 3.0138602)",,,
4025322392,4025322393,0,399859253,True,,cycleway,17.607,"LINESTRING (101.5371705 3.0145164, 101.5370256 3.0144521)",,,
4025322393,4025322394,0,399859253,True,,cycleway,13.895,"LINESTRING (101.5370256 3.0144521, 101.5369183 3.0143878)",,,
4025322394,4025322395,0,399859253,True,,cycleway,18.344,"LINESTRING (101.5369183 3.0143878, 101.536795 3.014278)",,,
4025322395,4025322390,0,399859253,True,,cycleway,9.095,"LINESTRING (101.536795 3.014278, 101.5367252 3.0142352)",,,
4025322396,4025322397,0,399859259,True,,cycleway,16.814,"LINESTRING (101.5363792 3.0138602, 101.5363041 3.0137289)",,,
4025322397,4025322398,0,399859259,True,,cycleway,12.333,"LINESTRING (101.5363041 3.0137289, 101.5362666 3.0136245)",,,
4025322398,4025322422,0,399859257,True,,cycleway,19.865,"LINESTRING (101.5362666 3.0136245, 101.536199 3.0134591)",,,
4025322398,4025322399,0,399859259,True,,cycleway,22.623,"LINESTRING (101.5362666 3.0136245, 101.5362344 3.0134236)",,,
4025322399,4025322400,0,399859259,True,,cycleway,12.865,"LINESTRING (101.5362344 3.0134236, 101.5362451 3.0133084)",,,
4025322400,4025322401,0,399859259,True,,cycleway,12.44,"LINESTRING (101.5362451 3.0133084, 101.5362666 3.0131986)",,,
4025322401,4025322402,0,399859259,True,,cycleway,10.739,"LINESTRING (101.5362666 3.0131986, 101.5362987 3.0131075)",,,
4025322402,4025322403,0,399859259,True,,cycleway,12.158,"LINESTRING (101.5362987 3.0131075, 101.5363309 3.013003)",,,
4025322403,4025322404,0,399859259,True,,cycleway,11.342,"LINESTRING (101.5363309 3.013003, 101.5363551 3.0129039)",,,
4025322404,4025322405,0,399859259,True,,cycleway,14.366,"LINESTRING (101.5363551 3.0129039, 101.5363685 3.0127754)",,,
4025322405,4025322406,0,399859259,True,,cycleway,14.349,"LINESTRING (101.5363685 3.0127754, 101.5363792 3.0126468)",,,
4025322406,4025322407,0,399859259,True,,cycleway,12.509,"LINESTRING (101.5363792 3.0126468, 101.5363792 3.0125343)",,,
4025322407,4025322408,0,399859259,True,,cycleway,14.496,"LINESTRING (101.5363792 3.0125343, 101.5363578 3.0124057)",,,
4025322408,4025322409,0,399859259,True,,cycleway,17.058,"LINESTRING (101.5363578 3.0124057, 101.5363256 3.0122557)",,,
4025322409,4025322410,0,399859259,True,,cycleway,42.197,"LINESTRING (101.5363256 3.0122557, 101.5362069 3.0118952)",,,
4025322410,4025322411,0,399859259,True,,cycleway,23.262,"LINESTRING (101.5362069 3.0118952, 101.5361478 3.0116945)",,,
4025322411,4025322412,0,399859259,True,,cycleway,8.223,"LINESTRING (101.5361478 3.0116945, 101.5360926 3.0116452)",,,
4025322412,4025322413,0,399859259,True,,cycleway,19.751,"LINESTRING (101.5360926 3.0116452, 101.5359168 3.0116182)",,,
4025322413,4025322414,0,399859259,True,,cycleway,21.248,"LINESTRING (101.5359168 3.0116182, 101.5357276 3.0115896)",,,
4025322414,4025322415,0,399859259,True,,cycleway,45.511,"LINESTRING (101.5357276 3.0115896, 101.5353305 3.0114883)",,,
4025322415,4025322416,0,399859259,True,,cycleway,47.054,"LINESTRING (101.5353305 3.0114883, 101.5349199 3.0113837)",,,
4025322416,4025322417,0,399859259,True,,cycleway,51.109,"LINESTRING (101.5349199 3.0113837, 101.5344829 3.0112394)",,,
4025322417,4025322418,0,399859259,True,,cycleway,31.403,"LINESTRING (101.5344829 3.0112394, 101.5342388 3.0110968)",,,
4025322418,4025322419,0,399859259,True,,cycleway,43.827,"LINESTRING (101.5342388 3.0110968, 101.533916 3.01087)",,,
4025322419,4749608600,0,399859259,True,,cycleway,19.942,"LINESTRING (101.533916 3.01087, 101.5337747 3.0107593)",,,
4025322420,4025322421,0,399859259,True,,cycleway,32.008,"LINESTRING (101.5334713 3.0105216, 101.53326 3.0103258)",,,
4025322421,4025322433,0,399859259,True,,cycleway,47.315,"LINESTRING (101.53326 3.0103258, 101.5329779 3.0100069)",,,
4025322422,4025322423,0,399859257,True,,cycleway,14.264,"LINESTRING (101.536199 3.0134591, 101.5361382 3.0133461)",,,
4025322423,4025322424,0,399859257,True,,cycleway,14.787,"LINESTRING (101.5361382 3.0133461, 101.5360605 3.0132381)",,,
4025322424,4025322425,0,399859257,True,,cycleway,30.911,"LINESTRING (101.5360605 3.0132381, 101.5358645 3.0130407)",,,
4025322425,4025322426,0,399859257,True,,cycleway,56.526,"LINESTRING (101.5358645 3.0130407, 101.5355062 3.0126796)",,,
4025322426,4025322427,0,399859257,True,,cycleway,9.43,"LINESTRING (101.5355062 3.0126796, 101.5354623 3.012607)",,,
4025322427,4025322428,0,399859257,True,,cycleway,9.562,"LINESTRING (101.5354623 3.012607, 101.5354387 3.0125243)",,,
4025322428,4025322429,0,399859257,True,,cycleway,10.605,"LINESTRING (101.5354387 3.0125243, 101.5354251 3.0124299)",,,
4025322429,4025322430,0,399859257,True,,cycleway,8.073,"LINESTRING (101.5354251 3.0124299, 101.5354251 3.0123573)",,,
4025322430,2165320803,0,399859257,True,,cycleway,12.303,"LINESTRING (101.5354251 3.0123573, 101.5354473 3.0122489)",,,
4025322431,4025322432,0,399859260,True,,cycleway,10.412,"LINESTRING (101.5380424 3.0148015, 101.53797 3.014742)",,,
4025322432,4025322385,0,399859260,True,,cycleway,10.993,"LINESTRING (101.53797 3.014742, 101.5378839 3.0146932)",,,
4025322433,4025322434,0,399859259,True,,cycleway,37.595,"LINESTRING (101.5329779 3.0100069, 101.5327633 3.0097454)",,,
4025322434,4025322435,0,399859259,True,,cycleway,158.002,"LINESTRING (101.5327633 3.0097454, 101.5318525 3.0086537)",,,
4025322435,4025322436,0,399859259,True,,cycleway,67.648,"LINESTRING (101.5318525 3.0086537, 101.5314605 3.008188)",,,
4025322436,4025322437,0,399859259,True,,cycleway,112.501,"LINESTRING (101.5314605 3.008188, 101.5308066 3.0074152)",,,
4025322437,4025322438,0,399859259,True,,cycleway,48.034,"LINESTRING (101.5308066 3.0074152, 101.5305244 3.0070878)",,,
4025322438,4025322439,0,399859259,True,,cycleway,31.822,"LINESTRING (101.5305244 3.0070878, 101.5303555 3.0068566)",,,
4025322439,4025322440,0,399859259,True,,cycleway,34.676,"LINESTRING (101.5303555 3.0068566, 101.5302051 3.0065833)",,,
4025322439,4749608108,0,482083925,True,,cycleway,97.78,"LINESTRING (101.5303555 3.0068566, 101.5297945 3.0061788)",,,
4025322440,4025322441,0,399859259,True,,cycleway,24.007,"LINESTRING (101.5302051 3.0065833, 101.5301138 3.0063876)",,,
4025322441,4025322442,0,399859259,True,,cycleway,18.93,"LINESTRING (101.5301138 3.0063876, 101.5300564 3.0062273)",,,
