u,v,key,osmid,oneway,name,highway,length,geometry,maxspeed,bridge,lanes,ref,service,access,width,junction,tunnel
331214990,2469720115,0,228774297,False,,cycleway,8.075,"LINESTRING (34.7762737 32.0924091, 34.7763587 32.0923997)",,,,,,,,,
331214990,331214989,0,228774297,False,,cycleway,142.922,"LINESTRING (34.7762737 32.0924091, 34.774769 32.0925735)",,,,,,,,,
331214990,35288615,0,239160737,True,דיזנגוף,tertiary,8.439,"LINESTRING (34.7762737 32.0924091, 34.7762566 32.0923346)",,,,,,,,,
331214991,290614228,0,30330795,True,נחום סוקולוב,residential,10.06,"LINESTRING (34.7782621 32.0921894, 34.7782864 32.0922775)",,,,,,,,,
331214991,331214992,0,228774297,False,,cycleway,291.38,"LINESTRING (34.7782621 32.0921894, 34.7788358 32.092126, 34.7794276 32.0920606, 34.7794717 32.0920557, 34.7813292 32.0918505)",,,,,,,,,
331214991,2469720115,0,228774297,False,,cycleway,180.826,"LINESTRING (34.7782621 32.0921894, 34.778215 32.0921946, 34.7763587 32.0923997)",,,,,,,,,
331214992,2072034655,0,228774297,False,,cycleway,143.14,"LINESTRING (34.7813292 32.0918505, 34.7828359 32.091684)",,,,,,,,,
331214992,286363134,0,246428096,True,יהושע בן נון,tertiary,6.845,"LINESTRING (34.7813292 32.0918505, 34.7813164 32.0917899)",50,,,,,,,,
331214992,331214991,0,228774297,False,,cycleway,291.38,"LINESTRING (34.7813292 32.0918505, 34.7794717 32.0920557, 34.7794276 32.0920606, 34.7788358 32.092126, 34.7782621 32.0921894)",,,,,,,,,
331214993,2072034655,0,228774297,False,,cycleway,5.054,"LINESTRING (34.7828891 32.0916781, 34.7828359 32.091684)",,,,,,,,,
331214993,35288618,0,212770529,True,אבן גבירול,secondary,8.675,"LINESTRING (34.7828891 32.0916781, 34.7828736 32.0916012)",,,,,,,,,
340378133,340382391,0,"[104702326, 104702331, 30780582]",False,,cycleway,859.9739999999999,"LINESTRING (34.7931963 32.0980593, 34.7929237 32.0979912, 34.7918204 32.0977864, 34.7903956 32.0974446, 34.7894715 32.0973467, 34.7885766 32.097252, 34.788267 32.0972192, 34.788219 32.0972118, 34.7881255 32.0971974, 34.7871485 32.0970461, 34.7864791 32.0969424, 34.7863358 32.0969211, 34.7842097 32.0968779)",,yes,,,,,,,
340378133,1140752838,0,"[104702332, 33636757]",False,,path,163.10399999999998,"LINESTRING (34.7931963 32.0980593, 34.7932348 32.0980295, 34.7932724 32.0980005, 34.7933781 32.0979768, 34.7934482 32.0979568, 34.7939172 32.0980295, 34.7939321 32.0980357, 34.7942462 32.0981663, 34.7948148 32.0983336)",,,,,,,,,
340378133,340382462,0,33636757,False,,path,163.737,"LINESTRING (34.7931963 32.0980593, 34.7932369 32.0983787, 34.7931678 32.0988618, 34.7931855 32.0991063, 34.7930714 32.0995147)",,,,,,,,,
340382284,513063216,0,161433884,False,,path,2.57,"LINESTRING (34.7831602 32.0984969, 34.7831575 32.0985199)",,,,,,,,,
340382284,476355656,0,482733906,False,,path,47.951,"LINESTRING (34.7831602 32.0984969, 34.7826527 32.0984633)",,,,,,,,,
340382284,4755318730,0,482733906,False,,path,8.643,"LINESTRING (34.7831602 32.0984969, 34.783243 32.0984634)",,,,,,,,,
340382391,358520930,0,30780562,False,,cycleway,173.91899999999998,"LINESTRING (34.7842097 32.0968779, 34.7841079 32.0975618, 34.784042 32.0979407, 34.7838947 32.0982604, 34.7837815 32.0983739)",,,,,,,,,
340382391,1140340987,0,"[30780427, 30780562, 60954179]",False,,"['cycleway', 'path']",488.9079999999999,"LINESTRING (34.7842097 32.0968779, 34.7842268 32.0968124, 34.7835335 32.0967573, 34.7834974 32.0966626, 34.7834274 32.0966096, 34.7833213 32.096556, 34.7830711 32.0965552, 34.7830539 32.0968553, 34.7819958 32.0968492, 34.7819614 32.0967445, 34.7819066 32.0966855, 34.78181 32.096656, 34.7816121 32.0966365, 34.7812555 32.0966528, 34.7810667 32.0966503, 34.7807505 32.0966233, 34.7805666 32.0966046, 34.7798295 32.0965686, 34.7797193 32.0965606)",,,,,,,,,
340382391,340378133,0,"[104702331, 30780582, 104702326]",False,,cycleway,859.974,"LINESTRING (34.7842097 32.0968779, 34.7863358 32.0969211, 34.7864791 32.0969424, 34.7871485 32.0970461, 34.7881255 32.0971974, 34.788219 32.0972118, 34.788267 32.0972192, 34.7885766 32.097252, 34.7894715 32.0973467, 34.7903956 32.0974446, 34.7918204 32.0977864, 34.7929237 32.0979912, 34.7931963 32.0980593)",,yes,,,,,,,
340382462,1790662927,0,37557967,False,,cycleway,12.63,"LINESTRING (34.7930714 32.0995147, 34.7931769 32.0995848)",,,,,,,,,
340382462,340378133,0,33636757,False,,path,163.737,"LINESTRING (34.7930714 32.0995147, 34.7931855 32.0991063, 34.7931678 32.0988618, 34.7932369 32.0983787, 34.7931963 32.0980593)",,,,,,,,,
340382462,358520930,0,"[30780562, 30780583]",False,,cycleway,889.963,"LINESTRING (34.7930714 32.0995147, 34.7924119 32.0993763, 34.7918816 32.0992225, 34.7917939 32.0992177, 34.7916478 32.0992093, 34.790122 32.0989218, 34.7893595 32.0987902, 34.7890368 32.0987506, 34.7889777 32.0987459, 34.7847889 32.0985355, 34.783978 32.0984875, 34.7837815 32.0983739)",,,,,,,,,
344929187,332203931,0,30742222,True,אדם הכהן,residential,5.719,"LINESTRING (34.7762866 32.0835425, 34.7763093 32.0835902)",30,,,,,,,,
344929187,2692265005,0,490956683,False,שביל בן גוריון,cycleway,186.594,"LINESTRING (34.7762866 32.0835425, 34.7763312 32.0835347, 34.7779136 32.0826582, 34.7779402 32.082628)",,,,,,,,,
344929187,2469720139,0,490956683,False,שביל בן גוריון,cycleway,206.53199999999998,"LINESTRING (34.7762866 32.0835425, 34.775822 32.083797, 34.7752491 32.0840691, 34.7748207 32.0842484, 34.7743388 32.0843745)",,,,,,,,,
344929188,2692265005,0,490956683,False,שביל בן גוריון,cycleway,8.09,"LINESTRING (34.7780042 32.0825795, 34.7779402 32.082628)",,,,,,,,,
344929188,2692265002,0,263601205,False,,path,9.751,"LINESTRING (34.7780042 32.0825795, 34.7780813 32.082521)",,,,,,,,,
344929188,340005844,0,26149885,True,שלמה המלך,tertiary,10.324,"LINESTRING (34.7780042 32.0825795, 34.7779696 32.0824914)",,,,,,,,,
344929195,2469720139,0,490956683,False,שביל בן גוריון,cycleway,8.069,"LINESTRING (34.7742584 32.0843995, 34.7743388 32.0843745)",,,,,,,,,
344929195,414894344,0,490956683,False,שביל בן גוריון,cycleway,63.464,"LINESTRING (34.7742584 32.0843995, 34.7736193 32.0845799)",,,,,,,,,
344929195,340005675,0,32904906,True,דיזנגוף,tertiary,10.917,"LINESTRING (34.7742584 32.0843995, 34.7742315 32.084304)",,,,,,,,,
344929212,414894344,0,490956683,False,שביל בן גוריון,cycleway,112.56,"LINESTRING (34.7724832 32.0848932, 34.7736193 32.0845799)",,,,,,,,,
344929212,2469848166,0,490956683,False,שביל בן גוריון,cycleway,8.031,"LINESTRING (34.7724832 32.0848932, 34.7724005 32.0849107)",,,,,,,,,
344929212,332203952,0,239173015,True,בן יהודה,tertiary,11.381,"LINESTRING (34.7724832 32.0848932, 34.7725254 32.0849891)",,,,,,,,,
354567804,2692365405,0,212770530,True,אבן גבירול,secondary,19.792,"LINESTRING (34.7830373 32.0916745, 34.7830737 32.0918498)",,,,,,,,,
354567804,29944883,0,229587486,True,שדרות נורדאו,tertiary,17.656,"LINESTRING (34.7830373 32.0916745, 34.782979 32.0917533, 34.7829109 32.0917849)",,,,,,,,,
358520930,340382462,0,"[30780562, 30780583]",False,,cycleway,889.9630000000001,"LINESTRING (34.7837815 32.0983739, 34.783978 32.0984875, 34.7847889 32.0985355, 34.7889777 32.0987459, 34.7890368 32.0987506, 34.7893595 32.0987902, 34.790122 32.0989218, 34.7916478 32.0992093, 34.7917939 32.0992177, 34.7918816 32.0992225, 34.7924119 32.0993763, 34.7930714 32.0995147)",,,,,,,,,
358520930,340382391,0,30780562,False,,cycleway,173.919,"LINESTRING (34.7837815 32.0983739, 34.7838947 32.0982604, 34.784042 32.0979407, 34.7841079 32.0975618, 34.7842097 32.0968779)",,,,,,,,,
358520930,384801545,0,263615938,False,,cycleway,11.527999999999999,"LINESTRING (34.7837815 32.0983739, 34.7837393 32.0984215, 34.783708 32.0984568)",,,,,,,,,
358522451,1140752838,0,"[98819432, 98819433, 104702332, 344407790]",False,,path,1191.7389999999996,"LINESTRING (34.806593 32.0999767, 34.805883 32.100112, 34.805629 32.100126, 34.805034 32.100144, 34.8029251 32.1001324, 34.802385 32.100146, 34.8019236 32.1001816, 34.8018171 32.1001943, 34.8009674 32.1004415, 34.8006658 32.1005325, 34.8005049 32.1005576, 34.8001268 32.1005133, 34.7997744 32.1004487, 34.7995719 32.1004422, 34.7993577 32.1004354, 34.7991654 32.100321, 34.799089 32.1002721, 34.799047 32.100178, 34.7989973 32.1000888, 34.798935 32.1, 34.798668 32.099856, 34.7984469 32.099797, 34.7983579 32.0997721, 34.7982901 32.0997532, 34.7979748 32.0996384, 34.7977416 32.0995294, 34.7975953 32.0994824, 34.797239 32.0993932, 34.7970298 32.0992916, 34.7966497 32.0989886, 34.7966324 32.0989805, 34.7964411 32.0988913, 34.7963922 32.0988685, 34.796129 32.098736, 34.7953978 32.0985841, 34.795359 32.098576, 34.795227 32.098508, 34.79499 32.098386, 34.7948148 32.0983336)",,yes,,,,,,,
358522451,358530895,0,"[77885187, 104699091, 104699085, 61574755]",False,,path,246.80900000000003,"LINESTRING (34.806593 32.0999767, 34.806832 32.099866, 34.807119 32.099696, 34.8075642 32.0996347, 34.8076983 32.0996013, 34.807811 32.099562, 34.808253 32.099565, 34.808587 32.099631, 34.808888 32.099821, 34.8090095 32.0998441)",,yes,,,,,,,
358522451,358522456,0,169067540,False,,path,110.36500000000001,"LINESTRING (34.806593 32.0999767, 34.80692 32.100022, 34.807224 32.100189, 34.807501 32.100519)",,,,,,,,,
358522456,412816904,0,35206598,False,,path,48.37,"LINESTRING (34.807501 32.100519, 34.807545 32.1009524)",,,,,,,,,
358522456,358522451,0,169067540,False,,path,110.365,"LINESTRING (34.807501 32.100519, 34.807224 32.100189, 34.80692 32.100022, 34.806593 32.0999767)",,,,,,,,,
358522456,358522458,0,169067540,False,,path,70.199,"LINESTRING (34.807501 32.100519, 34.807747 32.100631, 34.808207 32.100568)",,,,,,,,,
358522458,766753656,0,61410764,False,,path,68.868,"LINESTRING (34.808207 32.100568, 34.808226 32.1008387, 34.8082743 32.1009023, 34.8084891 32.1011052)",,,,,,,,,
358522458,358522456,0,169067540,False,,path,70.199,"LINESTRING (34.808207 32.100568, 34.807747 32.100631, 34.807501 32.100519)",,,,,,,,,
358522458,412816936,0,169067540,False,,path,82.41,"LINESTRING (34.808207 32.100568, 34.80837 32.10046, 34.808533 32.100263, 34.808669 32.1002137, 34.808773 32.10022, 34.8089036 32.1002348)",,,,,,,,,
358523656,989012075,0,30780219,False,,path,128.099,"LINESTRING (34.8138782 32.101607, 34.8137651 32.1014814, 34.8132883 32.1010533, 34.813109 32.100954, 34.8128684 32.100861)",,,,,,,,,
358530811,1129148200,0,34177093,False,,path,56.449,"LINESTRING (34.8253942 32.1060824, 34.8253406 32.1063941, 34.8252863 32.1065812)",,,,,,,,,
358530811,1154542010,0,121665910,False,,path,73.761,"LINESTRING (34.8253942 32.1060824, 34.82522 32.1059016, 34.8251338 32.105717, 34.8251279 32.1054856)",,,,,,,,,
358530811,1154542004,0,121665910,False,,path,130.779,"LINESTRING (34.8253942 32.1060824, 34.825733 32.1062051, 34.8259167 32.1063074, 34.8260898 32.1064532, 34.8262203 32.1065319, 34.8263991 32.1066206, 34.8265649 32.1066968)",,,,,,,,,
358530890,535954836,0,"[77885188, 42837126]",False,,path,398.1119999999999,"LINESTRING (34.809128 32.096929, 34.8091158 32.0969319, 34.8089523 32.0969413, 34.8086961 32.0969693, 34.808385 32.0970054, 34.808247 32.0971218, 34.8082077 32.0971848, 34.8081191 32.0972547, 34.807886 32.0973761, 34.8077508 32.0974869, 34.8077287 32.0976478, 34.8077508 32.0978032, 34.8077662 32.0978911, 34.8077927 32.0980315, 34.8078745 32.0981269, 34.807965 32.0981737, 34.808049 32.0982018, 34.8081771 32.0982261, 34.8083671 32.0982598, 34.8085172 32.0982982, 34.8086718 32.0984011, 34.8087522 32.0984863, 34.808822 32.0986113, 34.8088837 32.0987363, 34.8089399 32.0988239, 34.8089637 32.0988611, 34.809221 32.0990404)",,,,,,,,,
358530890,535954836,1,61574757,False,,path,250.24100000000004,"LINESTRING (34.809128 32.096929, 34.8093488 32.0971059, 34.8092893 32.0973419, 34.8090814 32.0981665, 34.8090539 32.0982946, 34.809056 32.098342, 34.809194 32.09854, 34.809221 32.0990404)",,,,,,,,,
358530890,1154542010,0,121665910,False,,path,2716.5289999999986,"LINESTRING (34.809128 32.096929, 34.8095029 32.0968962, 34.8097014 32.0966381, 34.8098511 32.0965936, 34.8104037 32.0965542, 34.8110396 32.0964263, 34.8115256 32.0964047, 34.8116069 32.096392, 34.8121466 32.0963076, 34.812598 32.096237, 34.813089 32.096213, 34.813497 32.096274, 34.813652 32.096341, 34.81405 32.096656, 34.814546 32.097247, 34.814847 32.097928, 34.815044 32.098231, 34.815417 32.098463, 34.815721 32.098523, 34.815988 32.098484, 34.816301 32.098357, 34.816526 32.098381, 34.816861 32.098278, 34.817394 32.098323, 34.817851 32.098245, 34.818266 32.098152, 34.818591 32.097991, 34.819006 32.09764, 34.8191363 32.0971591, 34.819189 32.096777, 34.819241 32.096636, 34.819374 32.09652, 34.81945 32.096523, 34.819857 32.096642, 34.82009 32.096815, 34.82026 32.097125, 34.82082 32.097861, 34.821288 32.098231, 34.8215184 32.0986415, 34.8216176 32.0987665, 34.8217487 32.0989091, 34.8217759 32.098946, 34.8218349 32.0990101, 34.8218658 32.0990775, 34.8219034 32.0991823, 34.82191 32.0992686, 34.8218859 32.0993641, 34.8218268 32.0995072, 34.8217751 32.0996396, 34.8217221 32.0997612, 34.8216735 32.0998398, 34.821605 32.099924, 34.8215365 32.1000063, 34.8212716 32.1002846, 34.8211376 32.1004254, 34.821016 32.100537, 34.820845 32.100798, 34.820796 32.101057, 34.820914 32.101397, 34.821166 32.101708, 34.821491 32.101855, 34.8215757 32.101885, 34.82239 32.102173, 34.8227038 32.1022194, 34.822965 32.102258, 34.8231398 32.1022692, 34.8232505 32.1022742, 34.823353 32.1022942, 34.8234339 32.1023273, 34.8234989 32.1024006, 34.8235509 32.1025036, 34.823585 32.1025975, 34.8235823 32.1026833, 34.8235409 32.1027667, 34.8234727 32.1028233, 34.8230275 32.1030403, 34.822807 32.1031499, 34.8227142 32.1032074, 34.8226071 32.1033947, 34.822569 32.1035178, 34.8225763 32.1036229, 34.822606 32.103737, 34.822828 32.103997, 34.82324 32.104294, 34.82331 32.1044317, 34.823403 32.1044771, 34.8235439 32.1044938, 34.8237328 32.1045517, 34.823809 32.104575, 34.824532 32.104942, 34.824831 32.105045, 34.8249917 32.1051465, 34.8250883 32.1052214, 34.8251234 32.1053111, 34.8251279 32.1054856)",,,,,,,,,
358530895,412816936,0,35206609,False,,path,44.574,"LINESTRING (34.8090095 32.0998441, 34.8089036 32.1002348)",,,,,,,,,
358530895,358522451,0,"[77885187, 61574755, 104699085, 104699091]",False,,path,246.80899999999997,"LINESTRING (34.8090095 32.0998441, 34.808888 32.099821, 34.808587 32.099631, 34.808253 32.099565, 34.807811 32.099562, 34.8076983 32.0996013, 34.8075642 32.0996347, 34.807119 32.099696, 34.806832 32.099866, 34.806593 32.0999767)",,yes,,,,,,,
358530895,535954836,0,61574756,False,,path,91.96100000000001,"LINESTRING (34.8090095 32.0998441, 34.8091085 32.0995311, 34.809223 32.099153, 34.8092207 32.0991045, 34.809221 32.0990404)",,,,,,,,,
387496221,476369760,0,261832904,False,,path,106.637,"LINESTRING (34.7856514 32.0799283, 34.7867775 32.0798319)",,,,,,,,,
387496221,489536104,0,261832904,False,,path,208.724,"LINESTRING (34.7856514 32.0799283, 34.7834419 32.0800648)",,,,,,,,,
387496221,387496059,0,33826860,True,בריינין,residential,83.347,"LINESTRING (34.7856514 32.0799283, 34.7855468 32.079184)",30,,,,,,,,
392067318,1129148200,0,34177093,False,,path,6.383,"LINESTRING (34.8252765 32.106638, 34.8252863 32.1065812)",,,,,,,,,
392067318,2349733341,0,226118269,True,שטרית,tertiary_link,181.065,"LINESTRING (34.8252765 32.106638, 34.8271527 32.1069927)",,,,,,,,,
412816904,358522456,0,35206598,False,,path,48.37,"LINESTRING (34.807545 32.1009524, 34.807501 32.100519)",,,,,,,,,
412816904,639608142,0,50341907,False,,path,159.289,"LINESTRING (34.807545 32.1009524, 34.8079532 32.1013768, 34.8080069 32.1017222, 34.8083141 32.1021916)",,,,,,,,,
412816904,766753656,0,98978116,False,,path,90.859,"LINESTRING (34.807545 32.1009524, 34.80797 32.101056, 34.8084891 32.1011052)",,,,,,,,,
412816936,358530895,0,35206609,False,,path,44.574,"LINESTRING (34.8089036 32.1002348, 34.8090095 32.0998441)",,,,,,,,,
412816936,1836429120,0,169067540,False,,path,4.681,"LINESTRING (34.8089036 32.1002348, 34.8088602 32.1002553)",,,,,,,,,
412816936,989012075,0,30780219,False,,path,415.71599999999995,"LINESTRING (34.8089036 32.1002348, 34.809113 32.100359, 34.8092687 32.1004967, 34.809468 32.100673, 34.809928 32.100863, 34.8100175 32.1009028, 34.8105007 32.1007761, 34.8106635 32.1006761, 34.8108351 32.1006405, 34.811417 32.10077, 34.8120958 32.1006216, 34.8122583 32.1006081, 34.8124425 32.100658, 34.8128684 32.100861)",,,,,,,,,
412816936,412844767,0,35206609,False,,path,106.43799999999999,"LINESTRING (34.8089036 32.1002348, 34.8087971 32.100496, 34.8086072 32.1011576)",,,,,,,,,
412816936,358522458,0,169067540,False,,path,82.41,"LINESTRING (34.8089036 32.1002348, 34.808773 32.10022, 34.808669 32.1002137, 34.808533 32.100263, 34.80837 32.10046, 34.808207 32.100568)",,,,,,,,,
412817027,639608142,0,35206609,False,,path,29.898,"LINESTRING (34.808235 32.102452, 34.8083141 32.1021916)",,,,,,,,,
412817027,3727349791,0,368894183,False,,cycleway,30.339,"LINESTRING (34.808235 32.102452, 34.8085253 32.1025702)",,,,,,,,,
412817027,412817028,0,35206609,False,,path,117.31,"LINESTRING (34.808235 32.102452, 34.8071691 32.1029001, 34.8071194 32.102921)",,,,,,,,,
412817028,412817027,0,35206609,False,,path,117.31,"LINESTRING (34.8071194 32.102921, 34.8071691 32.1029001, 34.808235 32.102452)",,,,,,,,,
412817028,3496916397,0,204357342,True,שדרות רוקח,secondary,638.1260000000001,"LINESTRING (34.8071194 32.102921, 34.8071626 32.1029355, 34.8086414 32.1034844, 34.8091188 32.1036912, 34.8099664 32.1040593, 34.8100549 32.1041047, 34.8113984 32.1048279, 34.8121871 32.1053307, 34.8129256 32.105827)",70,,3,,,,,,
412844767,639608142,0,35206609,False,,path,118.244,"LINESTRING (34.8086072 32.1011576, 34.8083141 32.1021916)",,,,,,,,,
412844767,766753656,0,98978116,False,,path,12.558,"LINESTRING (34.8086072 32.1011576, 34.8084891 32.1011052)",,,,,,,,,
412844767,412816936,0,35206609,False,,path,106.43799999999999,"LINESTRING (34.8086072 32.1011576, 34.8087971 32.100496, 34.8089036 32.1002348)",,,,,,,,,
414894344,344929195,0,490956683,False,שביל בן גוריון,cycleway,63.464,"LINESTRING (34.7736193 32.0845799, 34.7742584 32.0843995)",,,,,,,,,
414894344,344929212,0,490956683,False,שביל בן גוריון,cycleway,112.56,"LINESTRING (34.7736193 32.0845799, 34.7724832 32.0848932)",,,,,,,,,
414894344,370499903,0,32897464,False,גרץ,residential,9.867,"LINESTRING (34.7736193 32.0845799, 34.7736328 32.0846679)",,,,,,,,,
414894344,367369362,0,198900531,False,אמיל זולא,residential,10.068,"LINESTRING (34.7736193 32.0845799, 34.7736056 32.0844901)",,,,,,,,,
417774500,1123297112,0,174274995,False,,path,20.588,"LINESTRING (34.8246126 32.1227565, 34.8243962 32.1227828)",,,,,,,,,
417774500,471558809,0,30451254,False,,cycleway,96.795,"LINESTRING (34.8246126 32.1227565, 34.8236534 32.1224437)",,,,,,,,,
417774500,1168434910,0,174274995,False,,path,73.21600000000001,"LINESTRING (34.8246126 32.1227565, 34.8245822 32.1225653, 34.8247489 32.1221217)",,,,,,,,,
417774500,1164229476,0,206427026,True,משה סנה,primary,87.114,"LINESTRING (34.8246126 32.1227565, 34.824778 32.122283, 34.8248752 32.1220053)",,,,482,,,,,
454131362,2469848166,0,"[30146042, 490956683]",False,שביל בן גוריון,cycleway,227.91899999999998,"LINESTRING (34.770095 32.0855318, 34.7702075 32.0855015, 34.7704762 32.0854291, 34.7709448 32.0853029, 34.7724005 32.0849107)",,yes,,,,,,,
476355653,3909330957,0,161433884,False,,path,9.447,"LINESTRING (34.7830781 32.0987186, 34.7830978 32.0986353)",,,,,,,,,
476355653,558703048,0,387690939,True,שדרות רוקח,secondary,61.283,"LINESTRING (34.7830781 32.0987186, 34.7824287 32.0986854)",50,,3,,,,,,
476355653,794294955,0,161433884,False,,path,40.763999999999996,"LINESTRING (34.7830781 32.0987186, 34.7829346 32.0990094, 34.782876 32.0990228)",,,,,,,,,
476355656,340382284,0,482733906,False,,path,47.951,"LINESTRING (34.7826527 32.0984633, 34.7831602 32.0984969)",,,,,,,,,
476355656,354033824,0,31650856,True,,residential,4.477,"LINESTRING (34.7826527 32.0984633, 34.7826774 32.0984977)",,,,,,,,,
476355656,1140340987,0,482733906,False,,path,452.039,"LINESTRING (34.7826527 32.0984633, 34.7825668 32.0984478, 34.7824247 32.0984264, 34.7822859 32.0983919, 34.7820916 32.0983408, 34.7818737 32.0982892, 34.7817339 32.0982804, 34.7815742 32.0982794, 34.7814345 32.0982903, 34.7812861 32.0983084, 34.7811943 32.0983133, 34.7810761 32.0983185, 34.7809105 32.0983181, 34.7807468 32.0983075, 34.7804917 32.09828, 34.7803319 32.0982784, 34.7801146 32.0982772, 34.7800618 32.0982485, 34.78005 32.098155, 34.7799579 32.0980509, 34.7798035 32.0979843, 34.7797202 32.0979314, 34.7796893 32.0978473, 34.7797155 32.0967232, 34.7797193 32.0965606)",,,,,,,,,
476369760,2692250299,0,261832904,False,,path,168.899,"LINESTRING (34.7867775 32.0798319, 34.78856 32.0796704)",,,,,,,,,
476369760,387496221,0,261832904,False,,path,106.637,"LINESTRING (34.7867775 32.0798319, 34.7856514 32.0799283)",,,,,,,,,
476369760,287237779,0,30146286,True,רבקה זיו,residential,8.554,"LINESTRING (34.7867775 32.0798319, 34.7867881 32.0799083)",30,,,,,,,,
489536104,387496221,0,261832904,False,,path,208.724,"LINESTRING (34.7834419 32.0800648, 34.7856514 32.0799283)",,,,,,,,,
489536104,2701012461,0,261832904,False,,path,190.572,"LINESTRING (34.7834419 32.0800648, 34.7814266 32.0802113)",,,,,,,,,
489536104,289089574,0,26301613,True,דובנוב,residential,80.327,"LINESTRING (34.7834419 32.0800648, 34.7833388 32.0793477)",30,,,,,,,,
513063216,340382284,0,161433884,False,,path,2.57,"LINESTRING (34.7831575 32.0985199, 34.7831602 32.0984969)",,,,,,,,,
513063216,3909330957,0,161433884,False,,path,14.01,"LINESTRING (34.7831575 32.0985199, 34.7830978 32.0986353)",,,,,,,,,
513063216,270425900,0,121492367,True,שדרות רוקח,secondary,13.028,"LINESTRING (34.7831575 32.0985199, 34.7832951 32.0985317)",50,,3,,,,,,
535954836,358530895,0,61574756,False,,path,91.961,"LINESTRING (34.809221 32.0990404, 34.8092207 32.0991045, 34.809223 32.099153, 34.8091085 32.0995311, 34.8090095 32.0998441)",,,,,,,,,
535954836,358530890,0,"[77885188, 42837126]",False,,path,398.11199999999997,"LINESTRING (34.809221 32.0990404, 34.8089637 32.0988611, 34.8089399 32.0988239, 34.8088837 32.0987363, 34.808822 32.0986113, 34.8087522 32.0984863, 34.8086718 32.0984011, 34.8085172 32.0982982, 34.8083671 32.0982598, 34.8081771 32.0982261, 34.808049 32.0982018, 34.807965 32.0981737, 34.8078745 32.0981269, 34.8077927 32.0980315, 34.8077662 32.0978911, 34.8077508 32.0978032, 34.8077287 32.0976478, 34.8077508 32.0974869, 34.807886 32.0973761, 34.8081191 32.0972547, 34.8082077 32.0971848, 34.808247 32.0971218, 34.808385 32.0970054, 34.8086961 32.0969693, 34.8089523 32.0969413, 34.8091158 32.0969319, 34.809128 32.096929)",,,,,,,,,
535954836,358530890,1,61574757,False,,path,250.241,"LINESTRING (34.809221 32.0990404, 34.809194 32.09854, 34.809056 32.098342, 34.8090539 32.0982946, 34.8090814 32.0981665, 34.8092893 32.0973419, 34.8093488 32.0971059, 34.809128 32.096929)",,,,,,,,,
639608142,412817027,0,35206609,False,,path,29.898,"LINESTRING (34.8083141 32.1021916, 34.808235 32.102452)",,,,,,,,,
639608142,412844767,0,35206609,False,,path,118.244,"LINESTRING (34.8083141 32.1021916, 34.8086072 32.1011576)",,,,,,,,,
639608142,1836429116,0,50341907,False,,path,0.205,"LINESTRING (34.8083141 32.1021916, 34.8083162 32.1021921)",,,,,,,,,
