u,v,key,osmid,name,highway,oneway,length,geometry,maxspeed,lanes,ref,tunnel,bridge,junction,access,width,service
1329372,2144241316,0,"[463041714, 204416916]",לאונרדו דה וינצ'י,residential,False,210.68500000000003,"LINESTRING (34.7847519 32.0735123, 34.7847543 32.0738392, 34.7847538 32.0738758, 34.7847525 32.0739786, 34.7847463 32.0740405, 34.7846933 32.0743265, 34.7846853 32.0743744, 34.7846835 32.0743851, 34.7846538 32.0745619, 34.784621 32.0747656, 34.7844845 32.0753884)",,,,,,,,,
1329687,3646652095,0,"[537615293, 626037838]",מנחם בגין,trunk,True,258.683,"LINESTRING (34.7877379 32.0693603, 34.7877374 32.0693857, 34.7877547 32.0694737, 34.7877838 32.0695722, 34.7878511 32.0697181, 34.7880386 32.0699215, 34.7884574 32.0704285, 34.7887174 32.0706564, 34.7888449 32.0707487, 34.7890013 32.0708371, 34.7891556 32.0708889, 34.7893189 32.0709451, 34.7893529 32.0709699, 34.7894015 32.0710461, 34.7894254 32.0710847)",,3,2,,,,,,
1329703,442893209,0,20665653,תובל,residential,False,11.429,"LINESTRING (34.7938378 32.0704174, 34.7939541 32.0703882)",,,,,,,,,
1329703,6100854619,0,"[650292530, 239616102]",יגאל אלון,tertiary,True,114.55,"LINESTRING (34.7938378 32.0704174, 34.7937997 32.0702972, 34.7936215 32.0697346, 34.7935233 32.0694223)",,,,,,,,,
1329704,442893205,0,203762920,השלום,secondary,True,13.949,"LINESTRING (34.7945639 32.0724239, 34.7947075 32.0723934)",,,,,,,,,
1329704,282458314,0,239616102,יגאל אלון,tertiary,True,34.375,"LINESTRING (34.7945639 32.0724239, 34.7944441 32.0721319)",,,,,,,,,
1329706,2473987361,0,156716941,תוצרת הארץ,residential,True,15.145,"LINESTRING (34.7951312 32.073765, 34.7951338 32.0737223, 34.7951434 32.073679, 34.7951727 32.0736363)",,,,,,,,,
1329706,442898682,0,239616076,יגאל אלון,tertiary,True,131.38299999999998,"LINESTRING (34.7951312 32.073765, 34.79511 32.0736983, 34.7950798 32.0736272, 34.7950187 32.0734653, 34.7946795 32.0726474)",,,,,,,,,
1329709,1308842261,0,184657471,השלום,secondary,True,196.602,"LINESTRING (34.7970507 32.07178, 34.7950929 32.0723914)",,,,,,,,,
1329709,1228100,0,184657472,תוצרת הארץ,residential,True,18.875,"LINESTRING (34.7970507 32.07178, 34.7970523 32.0716931, 34.7971101 32.0716263)",,,,,,,,,
1329714,315048480,0,235485351,השלום,secondary,True,18.092,"LINESTRING (34.800103 32.0708253, 34.7999274 32.0708911)",,,,,,,,,
1329714,17703741,0,8057470,,secondary_link,True,28.320999999999998,"LINESTRING (34.800103 32.0708253, 34.8000408 32.0708884, 34.8000017 32.0709495, 34.7999946 32.0710523)",,,,,,,,,
1329719,2435366218,0,235485350,גלוסקא,tertiary,False,19.077,"LINESTRING (34.8019394 32.070197, 34.8019863 32.0703639)",,,,,,,,,
1329719,2435366215,0,235485350,גלוסקא,tertiary,False,9.896,"LINESTRING (34.8019394 32.070197, 34.80188 32.0701236)",,,,,,,,,
1329719,2435366221,0,235485351,השלום,secondary,True,19.741,"LINESTRING (34.8019394 32.070197, 34.8017593 32.0702877)",,,,,,,,,
1329813,3497100497,0,266662176,,secondary_link,True,9.945,"LINESTRING (34.802865 32.0660369, 34.8027596 32.0660323)",,2,,,,,,,
1627528,332203929,0,213182718,מלכי ישראל,tertiary,True,8.459,"LINESTRING (34.7800368 32.0814946, 34.780017 32.0815688)",,,,,,,,,
1627528,2229213067,0,213183018,שדרות דוד בן גוריון,tertiary,True,15.04,"LINESTRING (34.7800368 32.0814946, 34.7801034 32.0814963, 34.7801964 32.0814963)",,,,,,,,,
1627531,444731151,0,339990965,דוד בלוך,tertiary,False,10.752,"LINESTRING (34.7857291 32.0845097, 34.7857 32.0844162)",,,,,,,,,
1627531,5913155755,0,26038814,דוד רמז,tertiary,False,240.251,"LINESTRING (34.7857291 32.0845097, 34.7857827 32.0846976, 34.7858544 32.0849475, 34.7858884 32.0851209, 34.7859082 32.085306, 34.7860809 32.0865678, 34.7860908 32.0866456)",,1,,,,,,,
1627531,2166639375,0,"[623362981, 422732879]",ארלוזורוב,tertiary,True,357.89500000000004,"LINESTRING (34.7857291 32.0845097, 34.785679 32.0845205, 34.7850497 32.0846568, 34.7833825 32.0850178, 34.7833227 32.0850307, 34.7832742 32.0850412, 34.7820431 32.0852879)",30,2,,,,,,,
1627549,2203631392,0,206970213,1285,tertiary,True,34.644,"LINESTRING (34.7963889 32.0821371, 34.7966911 32.0823146)",,,,,,,,,
1627550,2989950141,0,"[402342649, 30806414]",,motorway_link,True,449.291,"LINESTRING (34.7968396 32.0824029, 34.7970518 32.0824658, 34.797129 32.082479, 34.7972033 32.0824829, 34.7972717 32.0824658, 34.7973318 32.0824329, 34.7973758 32.0823881, 34.7974133 32.0823245, 34.7974348 32.0822563, 34.7974562 32.0821472, 34.7974723 32.08202, 34.797478 32.0818618, 34.7974677 32.081645, 34.7974517 32.081486, 34.7974214 32.0812961, 34.7973407 32.080971, 34.7972783 32.0807814, 34.797169 32.0805009, 34.7970668 32.0802884, 34.7969466 32.0800732, 34.7967857 32.0798353, 34.7966103 32.0795448, 34.7962599 32.0790916)",,,,,,,,,
1627550,6507643701,0,171253206,1285,unclassified,True,230.30399999999997,"LINESTRING (34.7968396 32.0824029, 34.7971186 32.0825937, 34.7971428 32.0826129, 34.7971867 32.0826662, 34.7972329 32.0827472, 34.7973072 32.0829904, 34.797309 32.0830654, 34.7972872 32.0831445, 34.7972192 32.0831836, 34.7970165 32.0832171, 34.7968686 32.0832395, 34.7968331 32.0832157, 34.7968002 32.0831936, 34.7967414 32.083107, 34.7967073 32.0830174, 34.7966153 32.08271, 34.7965693 32.0825901, 34.7965061 32.0825131)",,,,,,,,,
1627569,4416355537,0,"[640860653, 32635318]",,motorway_link,True,273.792,"LINESTRING (34.7936442 32.0758407, 34.7933497 32.0755204, 34.7931766 32.0753118, 34.793077 32.0751307, 34.7929905 32.0749288, 34.7929325 32.0747447, 34.7928888 32.0745853, 34.7928459 32.0744268, 34.7928107 32.0742549, 34.7927691 32.0740632, 34.7927311 32.0738098, 34.7927236 32.073751, 34.7927 32.0735662)",,2,,,,,,,
1627569,2989957376,0,"[139744081, 139744077, 295231671]",איילון דרום,motorway,True,817.635,"LINESTRING (34.7936442 32.0758407, 34.7936086 32.0757663, 34.7933854 32.075283, 34.7933398 32.0751759, 34.7932968 32.0750743, 34.7932598 32.0749786, 34.7932216 32.0748496, 34.7931805 32.0747106, 34.7931467 32.0745748, 34.7931119 32.0744239, 34.7930807 32.0742812, 34.7930518 32.0741125, 34.7930306 32.0739618, 34.7929979 32.0737305, 34.7929716 32.0732889, 34.7929611 32.0729343, 34.7929088 32.0720747, 34.7928688 32.0713388, 34.7928538 32.0710833, 34.7928262 32.0707896, 34.7927832 32.0703695, 34.7927684 32.0702288, 34.792726 32.069896, 34.7926815 32.0696815, 34.792657 32.0695701, 34.7925927 32.0692683, 34.7925639 32.0691465, 34.7925301 32.0690316, 34.7924938 32.0689064, 34.7923854 32.0686098)",90,"['4', '5']",20,,,,,,
1627574,267819097,0,505829545,הירקון,secondary,True,132.54999999999998,"LINESTRING (34.7675742 32.0780598, 34.7676348 32.0782304, 34.7676881 32.0783805, 34.7676942 32.0783976, 34.7679799 32.0792012)",50,2,,,,,,,
1627580,2469848036,0,741598216,שדרות הנביאים,tertiary,False,5.731,"LINESTRING (34.7768779 32.0762354, 34.7768266 32.0762631)",50,,,,,,,,
1627580,1672308816,0,226125792,המלך ג'ורג',tertiary,True,154.54500000000002,"LINESTRING (34.7768779 32.0762354, 34.7772323 32.0766721, 34.777799 32.0773854)",,,,,,,,,
1627580,412518857,0,239620116,שדרות הנביאים,tertiary,False,77.801,"LINESTRING (34.7768779 32.0762354, 34.7772193 32.0761631, 34.777686 32.0760937)",50,,,,,,,,
1627584,288134276,0,31878589,שאול המלך,tertiary,True,81.895,"LINESTRING (34.7842973 32.0757074, 34.7842604 32.0757054, 34.7835996 32.0756681, 34.7834298 32.0756622)",,,,,,,,,
1627585,1107292327,0,95489272,שאול המלך,tertiary,True,12.667,"LINESTRING (34.7815958 32.0755241, 34.781725 32.0754926)",,,,,,,,,
1627585,415442665,0,226125791,אבן גבירול,secondary,True,73.323,"LINESTRING (34.7815958 32.0755241, 34.7816725 32.0748679)",,,,,,,,,
1627585,415442186,0,204417220,שדרות הנביאים,tertiary,False,72.75699999999999,"LINESTRING (34.7815958 32.0755241, 34.7814914 32.0755388, 34.780834 32.0756311)",,,,,,,,,
1627587,412399337,0,5013389,גורדון,tertiary,True,158.39999999999998,"LINESTRING (34.7688497 32.0826876, 34.7697234 32.0825462, 34.7704984 32.0824088)",,,,,,,,,
1627587,1627588,0,38434379,הירקון,secondary,True,186.888,"LINESTRING (34.7688497 32.0826876, 34.7690285 32.0830138, 34.7694044 32.0839509, 34.7695302 32.0842646)",,,,,,,,,
1627588,4831211731,0,"[30146001, 31878573]","['שדרות דוד בן גוריון', 'הירקון']",tertiary,True,258.01700000000005,"LINESTRING (34.7695302 32.0842646, 34.7696157 32.0843842, 34.7697011 32.0845273, 34.7697546 32.0846583, 34.7698798 32.0849334, 34.7699343 32.0850371, 34.7699546 32.0850647, 34.770152 32.0853329, 34.7701815 32.0853576, 34.7702131 32.0853703, 34.7702431 32.0853788, 34.7702925 32.0853804, 34.7704919 32.0853264, 34.7709102 32.085213, 34.7714068 32.0850785)",,,,,,,,,
1627588,412398379,0,35159805,עם ישראל חי,residential,False,54.929,"LINESTRING (34.7695302 32.0842646, 34.7697786 32.0842036, 34.7700902 32.0841271)",,,,,,,,,
1627588,1224771134,0,"[31918840, 106467257, 42202739, 106467245]",אליעזר פרי,secondary,True,422.48999999999995,"LINESTRING (34.7695302 32.0842646, 34.769684 32.0847012, 34.7697328 32.0850112, 34.7697425 32.0853256, 34.7697747 32.0855506, 34.7698498 32.0857915, 34.769933 32.086078, 34.7699598 32.0861801, 34.7700578 32.0863639, 34.7701643 32.0865277, 34.7702596 32.0866553, 34.7710879 32.0877514)",,,,yes,,,,,
1627607,1574697984,0,96864576,,motorway,True,198.333,"LINESTRING (34.7850871 32.0567161, 34.7845235 32.0549976)",90,3,1,,,,,,
1627607,544561044,0,"[396627330, 139744099, 396627332, 139744100, 396627333, 396627331, 26188070, 96864575]",איילון דרום,motorway,True,1410.3249999999998,"LINESTRING (34.7850871 32.0567161, 34.7846625 32.0551661, 34.7845646 32.0546857, 34.7845214 32.0544741, 34.7844767 32.0541826, 34.7844386 32.0537357, 34.7844267 32.0532178, 34.7844201 32.0529306, 34.7844067 32.0523465, 34.7844092 32.0514151, 34.7844105 32.0509597, 34.7844006 32.0505866, 34.7843909 32.0504098, 34.7843873 32.0503446, 34.7843347 32.0498906, 34.7842918 32.0496233, 34.7842552 32.0494361, 34.7842186 32.0492482, 34.7841043 32.0487478, 34.7838179 32.0476547, 34.7837806 32.0475326, 34.7837381 32.047378, 34.7835451 32.0466754, 34.7834629 32.046376, 34.7832289 32.0451619, 34.7831544 32.0447835, 34.7829798 32.0442092)",90,"['3', '2']",20,,yes,,,,
1627609,566890495,0,26204057,,motorway_link,True,199.07500000000002,"LINESTRING (34.7842245 32.0525174, 34.7841097 32.0518361, 34.7840754 32.051473, 34.7840848 32.0511989, 34.7841022 32.0507355)",,,,,,,,,
1627609,1627615,0,"[96864577, 27326010]",כביש תל אביב ירושלים,motorway,True,373.636,"LINESTRING (34.7842245 32.0525174, 34.7841966 32.0518364, 34.7841922 32.0517285, 34.7841924 32.0514819, 34.7842045 32.0512341, 34.7842252 32.0510738, 34.7842678 32.0508108, 34.7842997 32.0506883, 34.7843692 32.0504666, 34.7844491 32.0502599, 34.7845701 32.0500194, 34.7846962 32.049803, 34.785039 32.0493076)",90,,1,,,,,,
1627615,6187417336,0,27326010,כביש תל אביב ירושלים,motorway,True,253.317,"LINESTRING (34.785039 32.0493076, 34.7854333 32.0487531, 34.7857297 32.0483145, 34.7862374 32.0474352, 34.7863053 32.0473007)",90,,1,,,,,,
1627615,591891170,0,46338099,,motorway_link,True,222.799,"LINESTRING (34.785039 32.0493076, 34.7854552 32.0484865, 34.7857234 32.0480319, 34.7860325 32.0474902)",,,,,,,,,
3358619,2231332721,0,213437065,ז'בוטינסקי,tertiary,True,20.685,"LINESTRING (34.7951486 32.085814, 34.7949341 32.0858537)",,,,,,,,,
3358619,343415880,0,213437066,נמיר,trunk,True,11.855,"LINESTRING (34.7951486 32.085814, 34.7951194 32.0857103)",60,3,2,,,,,,
3358884,1622664278,0,30088414,ז'בוטינסקי,tertiary,False,9.831,"LINESTRING (34.772268 32.0898606, 34.7723702 32.0898427)",,,,,,,,,
3358884,3359271,0,106467248,הירקון,secondary,True,259.024,"LINESTRING (34.772268 32.0898606, 34.7722113 32.0897663, 34.7721804 32.0897123, 34.7715283 32.0885704, 34.77098 32.0878053)",50,,,,,,,,
3359271,1224771134,0,228774303,ארלוזורוב,tertiary,False,11.8,"LINESTRING (34.77098 32.0878053, 34.7710879 32.0877514)",,,,,,,,,
3359271,412400474,0,"[38434304, 38434306, 387701324, 387701325, 106467247, 38434302]","['אליעזר פרי', 'הרברט סמואל', 'הירקון']",secondary,True,655.5070000000001,"LINESTRING (34.77098 32.0878053, 34.7703276 32.0869543, 34.7702122 32.0868275, 34.7701201 32.0867063, 34.7699865 32.08651, 34.7698391 32.0862141, 34.7697852 32.0861017, 34.7697136 32.0858736, 34.769654 32.0854847, 34.7696272 32.0850256, 34.7695905 32.084798, 34.7695592 32.0846632, 34.769426 32.0842875, 34.7693596 32.0841254, 34.7693151 32.0840167, 34.7687461 32.0827618, 34.7686372 32.0826647, 34.7683965 32.0824517)",50,2,,yes,,,,,
17703736,339997764,0,203883664,מנחם בגין,primary,True,20.444,"LINESTRING (34.793301 32.0786945, 34.7930975 32.0786307)",,,481,,,,,,
17703736,3875242261,0,43158872,נמיר,trunk,True,43.423,"LINESTRING (34.793301 32.0786945, 34.7933745 32.0788412, 34.7934288 32.0789337, 34.7934954 32.0790484)",,4,2,,,,,,
17703741,3054583243,0,54033668,עליית הנוער,tertiary,True,176.251,"LINESTRING (34.7999946 32.0710523, 34.8003894 32.0720572, 34.8005958 32.0725532)",,,,,,,,,
17703745,3990123466,0,157457841,חפץ חיים,residential,False,83.598,"LINESTRING (34.7987463 32.0736579, 34.7988279 32.0738541, 34.7988758 32.0739695, 34.7990411 32.074367)",,,,,,,,,
29944865,34132764,0,5013389,גורדון,tertiary,True,129.899,"LINESTRING (34.7711387 32.0822705, 34.7724882 32.0820311)",,,,,,,,,
29944865,340007497,0,239173015,בן יהודה,tertiary,True,83.854,"LINESTRING (34.7711387 32.0822705, 34.7714861 32.0829648)",,,,,,,,,
29944868,2469848146,0,239173016,בן יהודה,tertiary,True,92.081,"LINESTRING (34.7697524 32.079919, 34.7702418 32.0806358)",,,,,,,,,
29944868,2469848140,0,229938810,פרישמן,tertiary,True,6.4670000000000005,"LINESTRING (34.7697524 32.079919, 34.7697241 32.0799205, 34.7696842 32.0799158)",,,,,,,,,
29944869,2469848130,0,204135839,בוגרשוב,tertiary,True,8.5,"LINESTRING (34.7684733 32.0776109, 34.7683955 32.0776496)",,,,,,,,,
29944869,267818057,0,229938808,בוגרשוב,tertiary,False,48.172,"LINESTRING (34.7684733 32.0776109, 34.7689092 32.0773845)",,,,,,,,,
29944869,412403936,0,239173016,בן יהודה,tertiary,True,185.913,"LINESTRING (34.7684733 32.0776109, 34.7689217 32.0785707, 34.7692685 32.0791389)",,,,,,,,,
29944870,343330693,0,204353047,ז'בוטינסקי,tertiary,True,55.051,"LINESTRING (34.773866 32.0895627, 34.7744382 32.0894622)",,,,,,,,,
29944870,334632200,0,239173015,בן יהודה,tertiary,True,90.08,"LINESTRING (34.773866 32.0895627, 34.7740985 32.0903485)",,,,,,,,,
29944871,315060363,0,239173015,בן יהודה,tertiary,True,20.389000000000003,"LINESTRING (34.7747369 32.0924728, 34.774769 32.0925735, 34.7747959 32.0926492)",,,,,,,,,
29944871,35288615,0,384536229,שדרות נורדאו,tertiary,True,143.984,"LINESTRING (34.7747369 32.0924728, 34.7753212 32.0924197, 34.7762566 32.0923346)",,,,,,,,,
29944872,2469848176,0,30879349,נחום הנביא,residential,True,7.012,"LINESTRING (34.7752909 32.094286, 34.7752173 32.0942954)",,,,,,,,,
29944872,290614131,0,212773873,בן יהודה,tertiary,True,54.439,"LINESTRING (34.7752909 32.094286, 34.7754539 32.0947557)",,,,,,,,,
29944872,343331654,0,30879340,מיכה,residential,True,244.721,"LINESTRING (34.7752909 32.094286, 34.775941 32.0941719, 34.7757328 32.0932702, 34.775534 32.0925706)",,,,,,,,,
