u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,lanes,tunnel,junction,access,bridge,service
268217756,472591134,0,41762939,לוינסון אברהם,residential,30,True,79.009,"LINESTRING (34.7556588 32.0498679, 34.7556259 32.0491579)",,,,,,
271878256,271878292,0,35555866,יצחק טבנקין,residential,30,False,8.853,"LINESTRING (34.829534 32.11642, 34.829628 32.11642)",,,,,,
271878256,416638549,0,35555866,יצחק טבנקין,residential,30,False,39.378,"LINESTRING (34.829534 32.11642, 34.8291202 32.1163692)",,,,,,
271878257,416638549,0,35555866,יצחק טבנקין,residential,30,False,21.051,"LINESTRING (34.828899 32.116342, 34.8291202 32.1163692)",,,,,,
271878257,416631044,0,35555866,יצחק טבנקין,residential,30,False,83.52,"LINESTRING (34.828899 32.116342, 34.8280248 32.1162157)",,,,,,
271878260,416631044,0,35555866,יצחק טבנקין,residential,30,False,63.322,"LINESTRING (34.827362 32.11612, 34.8280248 32.1162157)",,,,,,
271878260,387490782,0,35555866,יצחק טבנקין,residential,30,False,24.674,"LINESTRING (34.827362 32.11612, 34.8271064 32.1160713)",,,,,,
271878268,1170396286,0,172532015,יצחק טבנקין,residential,30,False,29.95,"LINESTRING (34.8332257 32.1154661, 34.8329079 32.1154563)",,,,,,
271878283,416613788,0,35554918,ישראל אשכנזי,residential,30,False,61.76,"LINESTRING (34.8321761 32.1153689, 34.8322397 32.1148161)",,,,,,
271878283,1170396286,0,172532015,יצחק טבנקין,residential,30,False,69.603,"LINESTRING (34.8321761 32.1153689, 34.8329079 32.1154563)",,,,,,
271878283,416628202,0,172532015,יצחק טבנקין,residential,30,False,20.681,"LINESTRING (34.8321761 32.1153689, 34.831957 32.1153813)",,,,,,
271878285,271878287,0,172532015,יצחק טבנקין,residential,30,False,35.217,"LINESTRING (34.8314232 32.1157219, 34.8316931 32.1155027)",,,,,,
271878285,271878288,0,172532015,יצחק טבנקין,residential,30,False,28.986,"LINESTRING (34.8314232 32.1157219, 34.8312135 32.1159127)",,,,,,
271878287,416628202,0,172532015,יצחק טבנקין,residential,30,False,28.283,"LINESTRING (34.8316931 32.1155027, 34.831957 32.1153813)",,,,,,
271878287,271878285,0,172532015,יצחק טבנקין,residential,30,False,35.217,"LINESTRING (34.8316931 32.1155027, 34.8314232 32.1157219)",,,,,,
271878288,271878285,0,172532015,יצחק טבנקין,residential,30,False,28.986,"LINESTRING (34.8312135 32.1159127, 34.8314232 32.1157219)",,,,,,
271878288,416634515,0,172532015,יצחק טבנקין,residential,30,False,29.943,"LINESTRING (34.8312135 32.1159127, 34.8309402 32.1160503)",,,,,,
271878289,416634515,0,172532015,יצחק טבנקין,residential,30,False,7.998,"LINESTRING (34.830871 32.116092, 34.8309402 32.1160503)",,,,,,
271878289,271878291,0,172532015,יצחק טבנקין,residential,30,False,32.567,"LINESTRING (34.830871 32.116092, 34.830574 32.116242)",,,,,,
271878290,271878291,0,172532015,יצחק טבנקין,residential,30,False,46.098,"LINESTRING (34.8301046 32.1163595, 34.830574 32.116242)",,,,,,
271878290,1834267841,0,172532015,יצחק טבנקין,residential,30,False,5.213,"LINESTRING (34.8301046 32.1163595, 34.8300524 32.1163751)",,,,,,
271878291,271878289,0,172532015,יצחק טבנקין,residential,30,False,32.567,"LINESTRING (34.830574 32.116242, 34.830871 32.116092)",,,,,,
271878291,271878290,0,172532015,יצחק טבנקין,residential,30,False,46.098,"LINESTRING (34.830574 32.116242, 34.8301046 32.1163595)",,,,,,
271878292,1834273193,0,35555866,יצחק טבנקין,residential,30,False,16.422,"LINESTRING (34.829628 32.11642, 34.8298005 32.1163984)",,,,,,
271878292,271878256,0,35555866,יצחק טבנקין,residential,30,False,8.853,"LINESTRING (34.829628 32.11642, 34.829534 32.11642)",,,,,,
271878405,1170498425,0,25015412,הרוגי מלכות,residential,30,False,33.396,"LINESTRING (34.8322 32.110008, 34.8324816 32.1098255)",,,,,,
271878405,1170481350,0,25015412,הרוגי מלכות,residential,30,False,54.227,"LINESTRING (34.8322 32.110008, 34.8317386 32.1102997)",,,,,,
271878405,1835006270,0,33491771,הגולן,residential,30,True,36.775,"LINESTRING (34.8322 32.110008, 34.8319717 32.1097397)",,,,,,
271878423,1123297092,0,271407934,"צה""ל",tertiary,30,False,8.85,"LINESTRING (34.8249945 32.1220403, 34.8250859 32.1220588)",,,,,,
271878423,1164229476,0,271407934,"צה""ל",tertiary,30,False,11.89,"LINESTRING (34.8249945 32.1220403, 34.8248752 32.1220053)",,,,,,
279713608,357498733,0,43898041,אחד העם,residential,30,True,45.577,"LINESTRING (34.7691148 32.0635443, 34.7686368 32.0634818)",,,,,,
282407636,1623678652,0,261745844,בארי,residential,30,True,15.912,"LINESTRING (34.7853194 32.0838218, 34.7854557 32.0837373)",,,,,,
282407637,284893128,0,30089902,פומבדיתא,residential,30,False,68.891,"LINESTRING (34.7882213 32.0829871, 34.7881399 32.0823714)",,,,,,
282407637,1122085779,0,261745844,בארי,residential,30,True,75.179,"LINESTRING (34.7882213 32.0829871, 34.7889922 32.0828125)",,,,,,
282458047,34650802,0,631603600,נחמני,residential,30,True,100.51,"LINESTRING (34.77794 32.0651645, 34.7769018 32.0653718)",,,,,,
282458079,6153617171,0,632506360,מזא''ה,residential,30,True,5.547,"LINESTRING (34.7774188 32.0658755, 34.7774769 32.0658675)",,,,,,
282458089,6153617173,0,632506360,מזא''ה,residential,30,True,2.931,"LINESTRING (34.7764129 32.0661771, 34.776442 32.0661678)",,,,,,
282458093,6153617161,0,631603600,נחמני,residential,30,True,5.375,"LINESTRING (34.775941 32.0656407, 34.7758873 32.065657)",,,,,,
282458158,1643308435,0,151517626,בלפור,tertiary,30,True,70.061,"LINESTRING (34.7767174 32.0668692, 34.7760137 32.0670726)",,,,,,
282458178,3699173914,0,33634620,אוליפנט,living_street,30,False,22.922,"LINESTRING (34.7804332 32.0658334, 34.7806346 32.0657178)",,,,,,
283612318,6169970403,0,632506360,מזא''ה,residential,30,True,19.253,"LINESTRING (34.7785089 32.0657261, 34.7787091 32.0656915)",,,,,,
284886812,289090965,0,26053061,פומבדיתא,residential,30,True,92.967,"LINESTRING (34.7879512 32.0804784, 34.7880136 32.0813128)",,,,,,
284886812,1122085780,0,26053126,חכמי קירואן,residential,30,True,67.236,"LINESTRING (34.7879512 32.0804784, 34.7886631 32.0804362)",,,,,,
284891705,1622844797,0,26053088,נהרדעא,residential,30,True,135.744,"LINESTRING (34.7872771 32.082557, 34.7858891 32.0828845)",,,,,,
284891705,284900755,0,26053118,פישמן מיימון,residential,30,False,81.14,"LINESTRING (34.7872771 32.082557, 34.7872058 32.0818298)",,,,,,
284893128,284891705,0,26053088,נהרדעא,residential,30,True,83.867,"LINESTRING (34.7881399 32.0823714, 34.7872771 32.082557)",,,,,,
284893128,282407637,0,30089902,פומבדיתא,residential,30,False,68.891,"LINESTRING (34.7881399 32.0823714, 34.7882213 32.0829871)",,,,,,
284899643,4664862042,0,26053162,בצלאל,residential,30,True,27.495,"LINESTRING (34.785938 32.0835211, 34.7857874 32.0833093)",1,,,,,
284899643,282407637,0,261745844,בארי,residential,30,True,223.161,"LINESTRING (34.785938 32.0835211, 34.7882213 32.0829871)",,,,,,
284900755,284891705,0,26053118,פישמן מיימון,residential,30,False,81.14,"LINESTRING (34.7872058 32.0818298, 34.7872771 32.082557)",,,,,,
284900755,331421759,0,623057276,פישמן מיימון,residential,30,True,145.058,"LINESTRING (34.7872058 32.0818298, 34.7870495 32.080532)",,,,,,
284903708,285953225,0,26053162,בצלאל,residential,30,True,144.943,"LINESTRING (34.7846382 32.0823762, 34.7835186 32.0814822)",1,,,,,
284903708,4664862033,0,37668275,סוטין,residential,30,True,27.784,"LINESTRING (34.7846382 32.0823762, 34.7848977 32.0822575)",1,,,,,
284903708,1622844792,0,37668276,סוטין,residential,30,False,35.734,"LINESTRING (34.7846382 32.0823762, 34.7843221 32.0825538)",,,,,,
284905902,284911364,0,26053493,רמברנדט,residential,30,True,61.999,"LINESTRING (34.7834701 32.0832444, 34.7839336 32.0836402)",1,,,,,
284911359,358866427,0,26053493,רמברנדט,residential,30,True,27.891,"LINESTRING (34.7818406 32.0822227, 34.7821153 32.0823162)",1,,,,,
284911361,284905902,0,26053493,רמברנדט,residential,30,True,81.15,"LINESTRING (34.7828336 32.0827527, 34.7834701 32.0832444)",1,,,,,
284911361,1622759094,0,26120942,ליליין,residential,30,True,16.497,"LINESTRING (34.7828336 32.0827527, 34.7827825 32.0828946)",1,,,,,
284911364,284911366,0,26053493,רמברנדט,residential,30,True,62.165,"LINESTRING (34.7839336 32.0836402, 34.7844107 32.0840264)",1,,,,,
284911366,1067614286,0,26053493,רמברנדט,residential,30,True,28.067,"LINESTRING (34.7844107 32.0840264, 34.7845781 32.0842352)",1,,,,,
284911366,1623713048,0,26120820,אנטוקולסקי,residential,30,True,25.513,"LINESTRING (34.7844107 32.0840264, 34.7841587 32.0841104)",1,,,,,
284915969,1155188212,0,26053859,לסר אורי,residential,30,True,160.236,"LINESTRING (34.7853931 32.0821153, 34.7852415 32.08068)",,,,,,
284915969,284900755,0,37668275,סוטין,residential,30,True,173.708,"LINESTRING (34.7853931 32.0821153, 34.7872058 32.0818298)",1,,,,,
285953225,476368635,0,26053162,בצלאל,residential,30,True,93.691,"LINESTRING (34.7835186 32.0814822, 34.7827916 32.0809073)",1,,,,,
285953227,1623682857,0,26120679,גליצנשטיין,residential,30,True,62.189,"LINESTRING (34.7846226 32.0807577, 34.7846706 32.0813155)",1,,,,,
285953228,5892663837,0,26120553,שילה,residential,30,True,18.385,"LINESTRING (34.7821201 32.0809369, 34.7821095 32.081102)",,,,,,
285953228,476368384,0,624053709,שילה,residential,30,True,73.746,"LINESTRING (34.7821201 32.0809369, 34.7820507 32.0802763)",,,,,,
285953249,285953225,0,26120679,גליצנשטיין,residential,30,True,106.095,"LINESTRING (34.7846375 32.0813745, 34.7835186 32.0814822)",1,,,,,
285955351,1995998596,0,30088744,אנטוקולסקי,residential,30,False,4.088,"LINESTRING (34.7816867 32.0844586, 34.7817293 32.0844516)",,,,,,
285955735,358866427,0,629800424,שטרוק,residential,30,True,112.125,"LINESTRING (34.7821724 32.0833234, 34.7821153 32.0823162)",,,,,,
285956296,476367059,0,26120942,ליליין,residential,30,True,126.932,"LINESTRING (34.7827648 32.0831376, 34.7830173 32.0842589)",1,,,,,
286363135,290035378,0,26149505,בזל,residential,30,True,72.524,"LINESTRING (34.7808963 32.0897431, 34.7801332 32.0898292)",,,,,,
286369057,1627531,0,206628046,ארלוזורוב,tertiary,30,True,64.083,"LINESTRING (34.7863868 32.0843627, 34.7857291 32.0845097)",2,,,,,
286369058,343327555,0,619944111,תש״ח,residential,30,False,32.681,"LINESTRING (34.7867988 32.0848624, 34.7870742 32.0850411)",,,,,,
286369058,5858082976,0,619944111,תש״ח,residential,30,False,10.564,"LINESTRING (34.7867988 32.0848624, 34.7867199 32.0847949)",,,,,,
286542239,7534476415,0,239552465,הרצל,tertiary,30,True,43.852,"LINESTRING (34.7708631 32.058119, 34.7708061 32.0585104)",,,,,,
286542525,2470035539,0,239552465,הרצל,tertiary,30,True,7.821,"LINESTRING (34.7708529 32.0547353, 34.7708478 32.0548055)",,,,,,
286542729,1199953205,0,41763308,הגמנסיה העברית,residential,30,True,9.223,"LINESTRING (34.7569869 32.0552916, 34.7569602 32.0552118)",,,,,,
286543443,406399586,0,239552465,הרצל,tertiary,30,True,105.68,"LINESTRING (34.7708089 32.0563077, 34.7708452 32.0572576)",,,,,,
286643432,5949778244,0,630031218,פינס,residential,30,False,4.165,"LINESTRING (34.7680363 32.0598833, 34.7680489 32.0598474)",,,,,,
286643432,4833025980,0,630031218,פינס,residential,30,False,41.805,"LINESTRING (34.7680363 32.0598833, 34.76791 32.0602437)",,,,,,
286643460,496176171,0,239552465,הרצל,tertiary,30,True,96.373,"LINESTRING (34.7707568 32.0588484, 34.7706225 32.0597076)",,,,,,
286643475,799417137,0,26187169,נחלת בנימין,residential,30,True,114.82,"LINESTRING (34.7720355 32.0581427, 34.7717527 32.0571383)",,,,,,
286643479,357545243,0,26187169,נחלת בנימין,residential,30,True,91.349,"LINESTRING (34.771733 32.057026, 34.771665 32.0562065)",,,,,,
287081614,6538159016,0,164376827,אופקים,residential,30,False,92.681,"LINESTRING (34.8049748 32.1209891, 34.8052373 32.1217924)",,,,,,
287237222,6437900727,0,26301591,ברקוביץ,residential,30,True,3.786,"LINESTRING (34.7845803 32.0774107, 34.784541 32.0774036)",,yes,,,,
287237222,3599592482,0,96841374,ברקוביץ,residential,30,False,73.146,"LINESTRING (34.7845803 32.0774107, 34.7853022 32.0776527)",,yes,,,,
287237424,287238002,0,26231570,רבקה זיו,residential,30,False,39.776,"LINESTRING (34.7866979 32.0790972, 34.7866695 32.0787403)",,,,,,
287237424,476369760,0,30146286,רבקה זיו,residential,30,True,82.039,"LINESTRING (34.7866979 32.0790972, 34.7867775 32.0798319)",,,,,,
287237690,287237691,0,26231525,לאונרדו דה וינצ'י,residential,30,False,94.302,"LINESTRING (34.7841075 32.0792907, 34.7840504 32.078444)",,,,,,
287237690,387496059,0,226125786,צייטלין,residential,30,True,136.125,"LINESTRING (34.7841075 32.0792907, 34.7855468 32.079184)",,,,,,
287237691,287237690,0,26231525,לאונרדו דה וינצ'י,residential,30,False,94.302,"LINESTRING (34.7840504 32.078444, 34.7841075 32.0792907)",,,,,,
287238001,3599592480,0,26231570,רבקה זיו,residential,30,False,25.454,"LINESTRING (34.7868072 32.0781731, 34.7867138 32.0783879)",,,,,,
287238001,6050892886,0,455711774,ברקוביץ,residential,30,False,7.275,"LINESTRING (34.7868072 32.0781731, 34.7867358 32.0781482)",,,,,,
287238001,1122404157,0,455711774,ברקוביץ,residential,30,False,24.417,"LINESTRING (34.7868072 32.0781731, 34.7870478 32.0782547)",,,,,,
287238002,287237424,0,26231570,רבקה זיו,residential,30,False,39.776,"LINESTRING (34.7866695 32.0787403, 34.7866979 32.0790972)",,,,,,
287238002,3599592481,0,26231570,רבקה זיו,residential,30,False,20.511,"LINESTRING (34.7866695 32.0787403, 34.7866749 32.0785559)",,,,,,
287238465,4517981865,0,365341970,מנחם בגין,residential,30,True,23.673,"LINESTRING (34.7818336 32.0646582, 34.7816278 32.0645361)",,,,,,
287570531,6153617177,0,26257505,שטראוס,residential,30,True,4.882,"LINESTRING (34.7727929 32.0673038, 34.7728091 32.0673455)",,,,,,
287570531,6153617178,0,632506360,מזא''ה,residential,30,True,4.647,"LINESTRING (34.7727929 32.0673038, 34.7728392 32.0672894)",,,,,,
287570954,6735312697,0,151517626,בלפור,tertiary,30,True,6.209,"LINESTRING (34.7730381 32.0679509, 34.7729761 32.0679698)",,,,,,
287571173,384660226,0,30621492,שינקין,tertiary,30,True,69.217,"LINESTRING (34.7732774 32.0692684, 34.7739872 32.0691081)",1,,,,,
287572290,311001060,0,151517626,בלפור,tertiary,30,True,131.032,"LINESTRING (34.7789719 32.0662472, 34.7776521 32.0666183)",,,,,,
288134274,489536104,0,26301613,דובנוב,residential,30,True,11.416,"LINESTRING (34.7834557 32.0801668, 34.7834419 32.0800648)",,,,,,
289069630,440061684,0,201185913,ברודצקי,tertiary,30,False,91.438,"LINESTRING (34.7946318 32.1049236, 34.7955689 32.1051383)",,,,,,
289069636,2288503784,0,201185913,ברודצקי,tertiary,30,False,31.156,"LINESTRING (34.7979623 32.1070787, 34.7981105 32.1073292)",,,,,,
289069636,2288504571,0,201185913,ברודצקי,tertiary,30,False,38.61,"LINESTRING (34.7979623 32.1070787, 34.7977517 32.1067808)",,,,,,
289069637,289069638,0,201185913,ברודצקי,tertiary,30,False,66.207,"LINESTRING (34.7983318 32.1077799, 34.7984723 32.1083633)",,,,,,
289069637,2288503784,0,201185913,ברודצקי,tertiary,30,False,54.277,"LINESTRING (34.7983318 32.1077799, 34.7981105 32.1073292)",,,,,,
289069638,289069640,0,201185913,ברודצקי,tertiary,30,False,52.213,"LINESTRING (34.7984723 32.1083633, 34.7985077 32.1088319)",,,,,,
289069638,289069637,0,201185913,ברודצקי,tertiary,30,False,66.207,"LINESTRING (34.7984723 32.1083633, 34.7983318 32.1077799)",,,,,,
289069640,440061971,0,201185913,ברודצקי,tertiary,30,False,31.342,"LINESTRING (34.7985077 32.1088319, 34.7985004 32.1091137)",,,,,,
289069640,289069638,0,201185913,ברודצקי,tertiary,30,False,52.213,"LINESTRING (34.7985077 32.1088319, 34.7984723 32.1083633)",,,,,,
289069641,1188072657,0,201185913,ברודצקי,tertiary,30,False,21.398,"LINESTRING (34.7984232 32.1096896, 34.7984034 32.1098813)",,,,,,
289069641,440061971,0,201185913,ברודצקי,tertiary,30,False,64.449,"LINESTRING (34.7984232 32.1096896, 34.7985004 32.1091137)",,,,,,
289069644,440062229,0,98098104,ברודצקי,tertiary,30,True,15.966,"LINESTRING (34.7983338 32.1107535, 34.7983087 32.1108955)",,,,,,
289069649,2288738339,0,342727508,ברודצקי,tertiary,30,True,16.145,"LINESTRING (34.7976988 32.113114, 34.7976427 32.1129768)",,,,,,
289069652,498886203,0,26386746,ברזיל,residential,30,False,197.564,"LINESTRING (34.7933631 32.1108455, 34.7954186 32.1111998)",,,,,,
289069652,1104534249,0,26386746,ברזיל,residential,30,False,71.531,"LINESTRING (34.7933631 32.1108455, 34.7926088 32.1109205)",,,,,,
289069657,1135283057,0,65354383,ברזיל,residential,30,False,10.193,"LINESTRING (34.7981439 32.1116815, 34.7980379 32.111663)",,,,,,
289069657,1104562886,0,98098104,ברודצקי,tertiary,30,True,56.117,"LINESTRING (34.7981439 32.1116815, 34.7980358 32.1121778)",,,,,,
289087265,3147530513,0,31134596,רקנאטי,tertiary,30,True,20.013,"LINESTRING (34.8023212 32.1215305, 34.8023502 32.1217088)",,,,,,
289089574,332205851,0,26301613,דובנוב,residential,30,True,88.886,"LINESTRING (34.7833388 32.0793477, 34.7832449 32.0785523)",,,,,,
289089574,287237690,0,226125786,צייטלין,residential,30,True,72.702,"LINESTRING (34.7833388 32.0793477, 34.7841075 32.0792907)",,,,,,
289090965,412268476,0,26053061,פומבדיתא,residential,30,True,49.563,"LINESTRING (34.7880136 32.0813128, 34.7880673 32.0817562)",,,,,,
289496747,289501488,0,26422870,נחשון,residential,30,True,58.103,"LINESTRING (34.7725777 32.0941247, 34.7731732 32.0939886)",,,,,,
289496750,289496749,0,30088398,חבקוק הנביא,residential,30,True,110.03,"LINESTRING (34.7734937 32.0932738, 34.7723819 32.0935771)",,,,,,
289496956,469954214,0,39228894,שער ציון,residential,30,False,29.378,"LINESTRING (34.7743167 32.0955529, 34.774015 32.0956198)",,,,,,
289501484,469954214,0,39228894,שער ציון,residential,30,False,22.081,"LINESTRING (34.7737896 32.0956743, 34.774015 32.0956198)",,,,,,
289501488,2143632941,0,26422870,נחשון,residential,30,True,53.799,"LINESTRING (34.7731732 32.0939886, 34.7737245 32.0938623)",,,,,,
290034963,290035103,0,26466359,ארבע ארצות,residential,30,True,55.836,"LINESTRING (34.7783926 32.088838, 34.7784433 32.0893383)",,,,,,
290034964,338523913,0,26466359,ארבע ארצות,residential,30,True,63.768,"LINESTRING (34.7778326 32.0863161, 34.7779656 32.0868784)",,,,,,
290034965,2475602294,0,30742222,אדם הכהן,residential,30,True,75.514,"LINESTRING (34.7776202 32.0855706, 34.7778547 32.08622)",,,,,,
290034965,362651172,0,30788054,ליברמן,residential,30,True,68.322,"LINESTRING (34.7776202 32.0855706, 34.7783183 32.0854042)",,,,,,
290035103,290035379,0,26505489,שדרות היוצ''ר,residential,30,True,138.556,"LINESTRING (34.7784433 32.0893383, 34.7798743 32.0890505)",,,,,,
290035378,4630769859,0,26149505,בזל,residential,30,True,53.964,"LINESTRING (34.7801332 32.0898292, 34.7795652 32.0898921)",,,,,,
290035378,4630769861,0,685784026,אשתורי הפרחי,pedestrian,30,False,55.802,"LINESTRING (34.7801332 32.0898292, 34.7802368 32.0903233)",,,,,,
290035379,290035378,0,30154191,אשתורי הפרחי,residential,30,True,89.957,"LINESTRING (34.7798743 32.0890505, 34.7801332 32.0898292)",,,,,,
290507583,6507169372,0,37557971,רדינג,tertiary,30,False,46.992,"LINESTRING (34.7941205 32.1083105, 34.7942866 32.108709)",,,,,,
290507583,6507169373,0,37557998,רדינג,tertiary,30,False,15.415,"LINESTRING (34.7941205 32.1083105, 34.7941173 32.1081719)",,,,,,
290507587,6507169371,0,37557971,רדינג,tertiary,30,False,25.945,"LINESTRING (34.7943115 32.1087689, 34.7944704 32.1089595)",,,,,,
290507587,6507169372,0,37557971,רדינג,tertiary,30,False,7.061,"LINESTRING (34.7943115 32.1087689, 34.7942866 32.108709)",,,,,,
290507593,290507602,0,37557971,רדינג,tertiary,30,False,59.265,"LINESTRING (34.794598 32.1091127, 34.7950711 32.1094641)",,,,,,
290507593,440062760,0,37557971,רדינג,tertiary,30,False,11.649,"LINESTRING (34.794598 32.1091127, 34.7945267 32.1090271)",,,,,,
290507602,1143495984,0,37557971,רדינג,tertiary,30,False,73.908,"LINESTRING (34.7950711 32.1094641, 34.7958368 32.1096095)",,,,,,
290507602,290507593,0,37557971,רדינג,tertiary,30,False,59.265,"LINESTRING (34.7950711 32.1094641, 34.794598 32.1091127)",,,,,,
290507602,440062744,0,37558136,אשר ברש,residential,30,False,88.315,"LINESTRING (34.7950711 32.1094641, 34.7949 32.110245)",,,,,,
290507618,1135269016,0,37557971,רדינג,tertiary,30,False,80.757,"LINESTRING (34.7965302 32.1097331, 34.7973714 32.1098737)",,,,,,
290507618,1143495984,0,37557971,רדינג,tertiary,30,False,66.739,"LINESTRING (34.7965302 32.1097331, 34.7958368 32.1096095)",,,,,,
290507618,440062682,0,37558128,הברון הירש,residential,30,False,61.283,"LINESTRING (34.7965302 32.1097331, 34.7964434 32.1102793)",,,,,,
290507618,440062670,0,37558131,נח,residential,30,False,128.764,"LINESTRING (34.7965302 32.1097331, 34.796584 32.108576)",,,,,,
291705529,343325168,0,171796159,ארלוזורוב,tertiary,30,True,25.648,"LINESTRING (34.7920723 32.0831266, 34.791806 32.0831745)",,,,,,
291705706,343444081,0,30888922,התמר,residential,30,False,134.971,"LINESTRING (34.7918878 32.0821469, 34.7933024 32.0819551)",,,,,,
306558978,284903708,0,26053162,בצלאל,residential,30,True,115.844,"LINESTRING (34.7855477 32.0830773, 34.7846382 32.0823762)",1,,,,,
311001040,6153617162,0,631603600,נחמני,residential,30,True,67.797,"LINESTRING (34.7766695 32.0654291, 34.7759889 32.0656268)",,,,,,
311001044,345574947,0,632506360,מזא''ה,residential,30,True,6.612,"LINESTRING (34.7771958 32.0659273, 34.777264 32.0659133)",,,,,,
